ID,ra,dec,redshift,u,g,r,i,z,type,v_pec
1237662199896211623,232.34152644460693,9.09098301097839,0.033276245,-18.390081,-20.1839,-19.59701,-20.5127,-20.719156,3.993349075317383,-209.84167353944858
1237662200432885898,231.94761687201537,9.624934112105812,0.031182118,-17.779451,-19.843801,-19.142061,-20.207628,-20.482578,-2.215665340423584,-817.001712895509
1237662636371804314,231.70835570811676,9.919366905819894,0.032566145,-17.676125,-20.11555,-19.388294,-20.46778,-20.712006,-2.245943546295166,-415.7242890382895
1237662263786799136,230.7531545519279,7.033077528019518,0.03491069,-18.344942,-20.178856,-19.581741,-20.47869,-20.69461,-2.2996773719787598,264.0406127427656
1237661949201154376,232.03697213045666,8.01261355955681,0.032774054,-18.204622,-19.42794,-19.06432,-19.54267,-19.679152,-2.400668144226074,-355.44425987937103
1237662199895163114,229.9605390449184,9.516214783182589,0.03355628,-16.935335,-18.09526,-17.75143,-18.332397,-18.23491,3.260908603668213,-128.6498157289753
1237662200432623623,231.34381584046955,9.73083249181847,0.034671657,-18.785381,-20.461449,-19.913355,-20.698526,-20.908089,3.8259191513061523,194.73665663723955
1237661951348310189,231.49936497896914,9.790151895442245,0.03389079,-16.963675,-19.153715,-18.43763,-19.472406,-19.681717,-2.323856830596924,-31.66376628450834
1237662635834933567,231.59248522254597,9.396432267796317,0.0323387,-18.75957,-20.696276,-20.079462,-20.988667,-21.232872,4.813028812408447,-481.6684820845274
1237662199358423054,230.1615504538794,8.989738193079495,0.035855863,-18.531769,-20.85704,-20.143133,-21.194296,-21.44677,-0.4498862028121948,538.0790430186207
1237662238023418025,231.39367514871472,7.339278535632867,0.0345331,-17.117184,-18.046162,-17.825336,-18.154177,-18.04472,5.201891899108887,154.56417733055937
1237662199895359600,230.4934520037773,9.400336100369826,0.033105902,-17.731306,-19.618755,-19.001518,-19.959755,-20.148838,-1.9049845933914185,-259.23001655017873
1237662263787061543,231.35894422037094,7.0847315044597,0.034776706,-18.873861,-20.607216,-20.025394,-20.935358,-21.16028,3.915104866027832,225.19400472277226
1237661949199909138,229.20862501759356,8.517575819202568,0.03057314,-17.178288,-18.097734,-17.841492,-18.009144,-18.02629,6.320610523223877,-993.5655537929217
1237662263786865037,230.95216101119453,7.069762697625566,0.033769168,-17.226696,-18.817942,-18.21957,-19.208876,-19.497358,4.32907247543335,-66.92620180372928
1237662263786996263,231.2059927407356,7.145938717293208,0.034756813,-17.5991,-19.151398,-18.517214,-19.284721,-19.859062,4.841334342956543,219.42633415507981
1237661950274896313,232.0892361623096,8.822484947463352,0.034348745,-17.325203,-18.650888,-18.230335,-18.78079,-18.568712,4.626807689666748,101.1132695988484
1237662199895294296,230.35657940212607,9.359601448064621,0.033224437,-16.731712,-18.914753,-18.210125,-19.27121,-19.55223,2.90022611618042,-224.86260938477173
1237662199358423112,230.1794089043137,8.941238560238572,0.032223135,-17.418098,-20.137333,-19.31184,-20.53397,-20.861954,1.6969938278198242,-515.17478325355
1237661949737959767,232.00100125839796,8.396908194762764,0.034955967,-17.286642,-19.363491,-18.71291,-19.652077,-19.90089,3.518433094024658,277.1679852000817
1237662200431968509,229.8860975859245,9.960016821409775,0.03264671,-19.182423,-21.287056,-20.587852,-21.608093,-21.824982,-9999.0,-392.365701631354
1237661950274175215,230.4752632193604,9.224545912264405,0.036758218,-16.997852,-18.429272,-17.981886,-18.605616,-18.49658,5.251623153686523,799.7030502126149
1237661949200039961,229.45226268625055,8.510282266850414,0.030516844,-17.473574,-18.734947,-18.386122,-19.02645,-19.162577,4.800999164581299,-1009.8877164772227
1237661951347523774,229.7342164716573,10.012771202261671,0.033151627,-16.935482,-18.246485,-17.794376,-18.482773,-18.791243,2.16141414642334,-245.97275335670585
1237662264860737967,231.2743586749409,7.8385460028043195,0.03390911,-16.999357,-18.075798,-17.841196,-18.176794,-14.006755,3.4559736251831055,-26.352162966751408
1237662264323473681,230.34890874350654,7.678198303198425,0.039144058,-16.2601,-18.366512,-17.664259,-18.654442,-18.931078,-2.321194648742676,1491.4408045595399
1237661950274175221,230.47359822765463,9.193282544954581,0.036819115,-17.19648,-18.497864,-17.9907,-18.823168,-18.905956,3.8491177558898926,817.3592023546123
1237661949737959720,231.9616955412263,8.459530223978087,0.031631622,-16.802435,-18.739471,-18.167465,-18.963148,-19.158056,4.28108024597168,-686.6749149836801
1237662199895556320,230.93296673293665,9.376669440773968,0.033395197,-18.789158,-20.41973,-19.91388,-20.665852,-20.756435,4.688136100769043,-175.35336361293452
1237662199895556189,230.89687182836056,9.346170633808198,0.035702687,-19.32659,-21.698235,-20.940788,-22.079802,-22.317226,-9999.0,493.66800864085525
1237662198822011164,231.2165381639803,8.308965119930988,0.03385898,-16.862335,-18.754536,-18.077362,-19.054573,-19.40431,-2.150721549987793,-40.88658842085268
1237662198822010940,231.21304400505932,8.425127670075701,0.03665083,-18.88044,-21.040648,-20.347475,-21.374035,-21.600496,-1.8813053369522095,768.5675449130947
1237662264860410147,230.5683985497246,8.048476125645527,0.040958934,-18.194414,-20.501953,-19.7328,-20.886684,-21.166018,-2.4586453437805176,2017.6362948933963
1237661950810652947,229.663402459518,9.702811451975762,0.03288993,-16.885792,-18.196472,-17.839882,-18.292488,-18.420126,4.049497604370117,-321.8477890252044
1237662198821552461,230.21525366290962,8.623446338250334,0.030932104,-17.533506,-18.714693,-18.318274,-18.864061,-19.10017,4.217701435089111,-889.4894417102216
1237661949737042180,229.8546333639526,8.799033879609278,0.03553064,-18.434504,-19.752167,-19.336187,-19.89368,-20.095379,4.1280083656311035,443.7856169372533
1237662197747613931,229.61463301655613,7.838772481354579,0.033729378,-17.40055,-19.187786,-18.587029,-19.50788,-19.745068,-1.479929804801941,-78.46270267783126
1237661949200761103,231.14521329999926,8.283225453897757,0.030885536,-15.591591,-17.45382,-16.82153,-17.80743,-18.047905,-0.966126561164856,-902.9911198380195
1237662264323277056,229.91591508961946,7.678394224839459,0.03280323,-17.765106,-19.466272,-18.883,-19.762041,-20.047264,5.005886077880859,-346.985125687292
1237662635834081641,229.65383122764854,9.85436460578096,0.03288405,-16.703161,-18.026009,-17.63146,-18.131292,-18.257147,4.106542110443115,-323.5526049372353
1237662264860082598,229.80898357154632,8.004163175733467,0.032178424,-17.953688,-19.756578,-19.16445,-20.042768,-20.252184,3.381080150604248,-528.1380526826011
1237661949199909173,229.2141068167857,8.438999832162263,0.034166157,-16.72617,-18.869236,-18.134945,-19.232546,-19.44173,-0.7935812473297119,48.1746764447834
1237662199895687252,231.17600656652806,9.302815768044622,0.034126423,-17.080627,-19.263203,-18.569256,-19.618525,-19.862751,-1.1741188764572144,36.65441191270227
1237662199357964459,229.16106854477133,9.220836230452548,0.03334748,-17.106665,-18.8293,-18.284752,-19.068224,-19.2272,4.540780067443848,-189.18817668680958
1237662238560354332,231.58811607043998,7.720877978354379,0.033859234,-17.224876,-19.729204,-18.966404,-20.08586,-20.350498,-2.4417238235473633,-40.81294501240634
1237662199895687423,231.20215787629064,9.234008992313093,0.03545281,-16.993536,-19.162354,-18.4848,-19.465088,-19.661694,-0.7993612289428711,421.22000087715634
1237662238560354319,231.57579996559275,7.710419927042118,0.03442436,-16.63029,-18.519367,-17.88275,-18.87128,-19.122267,4.111451148986816,123.03668034514466
1237661949199974632,229.350299744487,8.483962549066064,0.03432605,-17.47132,-19.213898,-18.671385,-19.44719,-19.586596,0.928058922290802,94.53320206083009
1237662264860803202,231.46914627531385,7.81963541299602,0.03368265,-19.360413,-21.316027,-20.669792,-21.666851,-21.875504,-9999.0,-92.0107703542556
1237662198821290281,229.5732352544434,8.654390992095983,0.03497023,-17.045486,-18.41277,-17.982664,-18.469515,-18.710245,3.726090908050537,281.3033235254726
