wavelength flux
3804.05273757997 -8.386461027041032e-15
3808.2287880504555 7.907838015980442e-15
3812.4048385209408 3.4396357598023146e-15
3816.580888991426 -2.966405103809534e-15
3820.7569394619113 -4.9864252047047634e-15
3824.9329899323966 -5.598412597964014e-15
3829.109040402882 2.0376811359993822e-16
3833.285090873367 -7.582127067591075e-16
3837.4611413438524 -1.5133557508860578e-15
3841.6371918143377 1.643120501298551e-15
3845.813242284823 2.0455869686419242e-15
3849.9892927553083 4.014752431627392e-15
3854.1653432257935 8.586470282452609e-15
3858.341393696279 9.146230701598667e-16
3862.517444166764 3.529145955482416e-15
3866.6934946372494 -1.9741276956988314e-15
3870.8695451077347 1.4686239184965626e-16
3875.0455955782204 1.675860897586271e-15
3879.2216460487057 2.8873993160709837e-15
3883.397696519191 3.9596833884447044e-16
3887.5737469896762 -2.486800906500014e-15
3891.7497974601615 2.0295880849105867e-16
3895.925847930647 -3.4873968161803564e-15
3900.101898401132 -3.44054539232838e-16
3904.2779488716174 3.555619773675786e-15
3908.4539993421026 5.06184210769022e-15
3912.630049812588 1.799268426665422e-15
3916.806100283073 -1.3892039251427137e-15
3920.982150753559 1.8320079409151725e-15
3925.158201224044 6.2780592001284126e-15
3929.3342516945295 3.3665517895553352e-15
3933.5103021650148 3.511797753750614e-15
3937.6863526355 4.218384314856863e-15
3941.8624031059853 4.6652718401527186e-15
3946.0384535764706 -2.498042454574227e-16
3950.214504046956 -6.194319878568038e-16
3954.390554517441 2.844094972082074e-15
3958.5666049879264 2.149402508030647e-15
3962.7426554584117 2.216037077210304e-15
3966.918705928897 2.400765297014649e-15
3971.0947563993823 -1.5133846151061688e-15
3975.2708068698676 8.686731260389787e-16
3979.446857340353 3.69359635875197e-15
3983.622907810838 4.5564956054703344e-15
3987.7989582813234 1.230184003066147e-15
3991.9750087518087 2.2259524896622904e-15
3996.151059222294 2.5477451246097207e-15
4000.3271096927792 3.5252181559204686e-15
4004.5031601632645 3.591994436653631e-15
4008.67921063375 1.8977208035131923e-15
4012.855261104235 1.9605957213869357e-15
4017.0313115747203 8.93974122859643e-16
4021.2073620452056 2.526503409522633e-15
4025.383412515691 3.3682153878038674e-15
4029.559462986176 1.5661651683694048e-15
4033.7355134566615 2.333224447219265e-15
4037.9115639271467 3.1362893502155997e-15
4042.087614397632 3.940121526887262e-15
4046.2636648681173 2.684693128699401e-15
4050.4397153386026 3.5172614712062524e-15
4054.6157658090883 4.237245725676737e-15
4058.7918162795736 4.855574052203278e-15
4062.967866750059 2.7894027059437583e-15
4067.143917220544 1.5845217342716548e-15
4071.3199676910294 4.550384686157842e-15
4075.4960181615147 2.622664390490487e-15
4079.672068632 2.2444907409848173e-15
4083.8481191024853 2.8332500836594662e-15
4088.0241695729705 2.2678515693830868e-15
4092.200220043456 4.1263373369752095e-15
4096.376270513942 2.1700994142171802e-15
4100.552320984427 2.404755586918284e-15
4104.728371454912 2.153042717259902e-15
4108.904421925397 2.809326824514929e-15
4113.080472395883 3.17098151770244e-15
4117.256522866368 1.876474901457998e-15
4121.432573336853 1.829017606427434e-15
4125.6086238073385 3.2196268146230057e-15
4129.784674277824 3.620881033128062e-15
4133.960724748309 3.552411030968656e-15
4138.136775218794 3.628814621305371e-15
4142.31282568928 4.160013423082816e-15
4146.488876159765 3.650739338366129e-15
4150.66492663025 2.758618257272106e-15
4154.8409771007355 2.5411000668151194e-15
4159.017027571221 2.6360305383066677e-15
4163.193078041706 3.314611194662799e-15
4167.369128512191 1.3444115334632473e-15
4171.545178982677 2.6388200947152e-15
4175.721229453162 4.126327500178117e-15
4179.897279923647 2.5015998983333e-15
4184.073330394132 3.284500122545817e-15
4188.249380864618 2.8084708902724204e-15
4192.425431335103 4.3171347792024694e-15
4196.601481805588 2.1608516494001787e-15
4200.7775322760735 2.633160813109286e-15
4204.953582746559 3.0372498308429206e-15
4209.129633217044 3.795804322082876e-15
4213.305683687529 2.8432841613941337e-15
4217.481734158015 2.945904353619671e-15
4221.6577846285 2.8000461514038183e-15
4225.833835098985 3.834877815732694e-15
4230.0098855694705 4.015948370646669e-15
4234.185936039956 3.1998890726404403e-15
4238.361986510441 2.2430984820586765e-15
4242.538036980926 2.3365774787672745e-15
4246.714087451412 2.6469242892617323e-15
4250.890137921897 2.6119183025322135e-15
4255.066188392382 2.3445333621721116e-15
4259.242238862867 3.482499641100262e-15
4263.418289333353 4.326661892164073e-15
4267.594339803838 3.4881875107309345e-15
4271.770390274323 3.619431005639556e-15
4275.946440744809 3.508823110182259e-15
4280.122491215294 2.5059198232379793e-15
4284.298541685779 2.7654184400898786e-15
4288.474592156264 3.7359738310441e-15
4292.65064262675 4.210739119569776e-15
4296.826693097235 4.7007669483369e-15
4301.002743567721 3.437647451551179e-15
4305.178794038206 3.4048496992324223e-15
4309.354844508692 3.996896981943791e-15
4313.530894979177 3.868701746893452e-15
4317.706945449662 2.622468289081714e-15
4321.882995920148 3.3543632430787203e-15
4326.059046390633 2.7034648866229763e-15
4330.235096861118 2.7508918779852186e-15
4334.411147331603 3.3736116047805493e-15
4338.587197802089 2.600783158405522e-15
4342.763248272574 2.6405860696776372e-15
4346.939298743059 3.4450562044590074e-15
4351.1153492135445 3.4525042627265463e-15
4355.29139968403 3.4693107274668306e-15
4359.467450154515 4.132767712277876e-15
4363.643500625 3.684795884453827e-15
4367.819551095486 3.5578561869074646e-15
4371.995601565971 3.1788812544603042e-15
4376.171652036456 3.81994721173636e-15
4380.3477025069415 4.330363132654773e-15
4384.523752977427 3.703990711594283e-15
4388.699803447913 3.1162164898912766e-15
4392.875853918398 3.2716272763160436e-15
4397.0519043888835 3.3644457957322862e-15
4401.227954859369 3.3235742910896083e-15
4405.404005329854 4.024526785906572e-15
4409.580055800339 3.56651204431656e-15
4413.756106270825 3.3351268908048377e-15
4417.93215674131 4.484405458638839e-15
4422.108207211795 4.7777290136865196e-15
4426.28425768228 2.6305522521575363e-15
4430.460308152766 3.746156927880576e-15
4434.636358623251 3.80474617524973e-15
4438.812409093736 3.360264174577172e-15
4442.988459564222 3.566631409608978e-15
4447.164510034707 3.477763284053284e-15
4451.340560505192 3.783784054715675e-15
4455.516610975677 3.769061738362173e-15
4459.692661446163 4.1395744644010245e-15
4463.868711916648 3.508075660069774e-15
4468.044762387133 4.115586781820859e-15
4472.2208128576185 4.3305059742477235e-15
4476.396863328104 3.804219819235841e-15
4480.572913798589 3.842039135632519e-15
4484.748964269074 3.876598603519074e-15
4488.92501473956 4.20873749210928e-15
4493.101065210045 3.593516191159366e-15
4497.27711568053 3.631939950607296e-15
4501.4531661510155 3.7735257267869044e-15
4505.629216621501 4.3203008873912435e-15
4509.805267091986 3.4567508425274467e-15
4513.981317562471 4.0356097439582e-15
4518.157368032957 3.557933915336185e-15
4522.333418503442 3.657153548919385e-15
