wavelength flux
3804.05273757997 2.533122136358377e-15
3808.2287880504555 1.888440762475162e-15
3812.4048385209408 -1.1793574234055811e-15
3816.580888991426 1.1038911900161666e-15
3820.7569394619113 1.174368843924012e-15
3824.9329899323966 9.115133568774583e-17
3829.109040402882 5.811874226590704e-16
3833.285090873367 1.114255485133006e-15
3837.4611413438524 1.8396106451773058e-15
3841.6371918143377 1.3861590072280238e-15
3845.813242284823 1.546555151790907e-15
3849.9892927553083 1.8463368001555883e-15
3854.1653432257935 -8.596462016042666e-16
3858.341393696279 -5.83851966330629e-16
3862.517444166764 6.238618504708312e-16
3866.6934946372494 1.813262657980941e-15
3870.8695451077347 1.256796267275624e-15
3875.0455955782204 1.1973843333247122e-15
3879.2216460487057 -3.84825616048566e-16
3883.397696519191 -4.09938536823332e-16
3887.5737469896762 2.9263440423871415e-16
3891.7497974601615 9.422081830239633e-16
3895.925847930647 5.67157826361739e-16
3900.101898401132 1.6286013302582605e-15
3904.2779488716174 9.573432018606262e-16
3908.4539993421026 9.78622419749517e-16
3912.630049812588 5.071997252788431e-16
3916.806100283073 9.854515149891843e-16
3920.982150753559 1.3875888442806334e-17
3925.158201224044 6.7782628984146005e-16
3929.3342516945295 7.123937487024201e-16
3933.5103021650148 1.172769408223665e-15
3937.6863526355 5.006659176291908e-16
3941.8624031059853 5.143689286283118e-16
3946.0384535764706 8.326654147877449e-16
3950.214504046956 1.046380100620678e-15
3954.390554517441 6.153957283726722e-16
3958.5666049879264 1.1449644551385395e-15
3962.7426554584117 7.804916239219898e-16
3966.918705928897 8.145258371781753e-16
3971.0947563993823 7.385981528314436e-16
3975.2708068698676 8.506284168313622e-16
3979.446857340353 4.14765943700601e-16
3983.622907810838 2.0988477787209854e-16
3987.7989582813234 8.41118787395111e-16
3991.9750087518087 7.831648968024816e-16
3996.151059222294 9.201119135218071e-16
4000.3271096927792 1.6691660730808473e-15
4004.5031601632645 1.197308223570057e-15
4008.67921063375 6.672171527895614e-16
4012.855261104235 3.952063980240659e-16
4017.0313115747203 9.959274373196688e-16
4021.2073620452056 9.424630686384886e-16
4025.383412515691 4.2142290957605784e-16
4029.559462986176 5.0587546736472315e-16
4033.7355134566615 7.181791719664486e-16
4037.9115639271467 8.868425640325817e-16
4042.087614397632 1.2594867040924184e-15
4046.2636648681173 1.2765410382240432e-15
4050.4397153386026 1.0612796117402832e-15
4054.6157658090883 6.386779053556083e-16
4058.7918162795736 8.501215560492349e-16
4062.967866750059 1.1602576196473901e-15
4067.143917220544 1.0453252881661012e-15
4071.3199676910294 1.087705322456133e-15
4075.4960181615147 8.304851364821712e-16
4079.672068632 9.651494582558958e-16
4083.8481191024853 1.1357135189614035e-15
4088.0241695729705 7.731695036917875e-16
4092.200220043456 7.315062514621406e-16
4096.376270513942 1.0835800478768264e-15
4100.552320984427 1.0093208936720846e-15
4104.728371454912 7.857823145717863e-16
4108.904421925397 7.121319045491956e-16
4113.080472395883 1.071933403246256e-15
4117.256522866368 1.2103865846898766e-15
4121.432573336853 1.0066256024572733e-15
4125.6086238073385 7.638206683185841e-16
4129.784674277824 8.84819108926436e-16
4133.960724748309 7.905358247829622e-16
4138.136775218794 9.236943420278327e-16
4142.31282568928 1.0368120576919835e-15
4146.488876159765 7.873661180622218e-16
4150.66492663025 4.886338628786215e-16
4154.8409771007355 6.423669613587407e-16
4159.017027571221 1.0230181729220186e-15
4163.193078041706 1.2365913929389522e-15
4167.369128512191 1.3889062546131817e-15
4171.545178982677 1.5032146544016545e-15
4175.721229453162 1.234173078952617e-15
4179.897279923647 1.3774810112741394e-15
4184.073330394132 1.1515679541939763e-15
4188.249380864618 1.1359452908917744e-15
4192.425431335103 1.4020142435536333e-15
4196.601481805588 8.684617625999647e-16
4200.7775322760735 1.2619432868739294e-15
4204.953582746559 1.2365862278837447e-15
4209.129633217044 1.0202452619109426e-15
4213.305683687529 9.662499238458591e-16
4217.481734158015 1.2012332610085636e-15
4221.6577846285 1.1516917421449906e-15
4225.833835098985 1.1651483024580307e-15
