name,inst,filter,mjd,mjderr,mag,magerr,flux,fluxerr
4281886474885416064,IRSA_ZTF,zg,58205.5078125,0.0,18.091440200805664,0.04635180905461311,0.0,0.0
4281886474885416064,IRSA_ZTF,zg,58205.52734375,0.0,18.088577270507812,0.04629545658826828,0.0,0.0
4281886474885416064,IRSA_ZTF,zg,58206.48828125,0.0,18.108240127563477,0.04668532311916351,0.0,0.0
4281886474885416064,IRSA_ZTF,zg,58207.50390625,0.0,18.115087509155273,0.04682261496782303,0.0,0.0
4281886474885416064,IRSA_ZTF,zg,58209.5234375,0.0,18.14813232421875,0.04749636724591255,0.0,0.0
4281886474885416064,IRSA_ZTF,zg,58210.5078125,0.0,18.175081253051758,0.04805977642536163,0.0,0.0
4281886474885416064,IRSA_ZTF,zg,58210.52734375,0.0,18.10660743713379,0.046652697026729584,0.0,0.0
4281886474885416064,IRSA_ZTF,zg,58211.484375,0.0,18.126802444458008,0.04705933481454849,0.0,0.0
4281886474885416064,IRSA_ZTF,zg,58229.5,0.0,18.342744827270508,0.05186336860060692,0.0,0.0
4281886474885416064,IRSA_ZTF,zg,58231.45703125,0.0,18.27960777282715,0.050368793308734894,0.0,0.0
4281886474885416064,IRSA_ZTF,zg,58231.48046875,0.0,18.199777603149414,0.048587359488010406,0.0,0.0
4281886474885416064,IRSA_ZTF,zg,58234.4375,0.0,18.10329818725586,0.046586718410253525,0.0,0.0
4281886474885416064,IRSA_ZTF,zg,58234.48046875,0.0,18.106300354003906,0.04664658010005951,0.0,0.0
4281886474885416064,IRSA_ZTF,zg,58235.4375,0.0,18.035236358642578,0.045269716531038284,0.0,0.0
4281886474885416064,IRSA_ZTF,zg,58235.4609375,0.0,17.99835968017578,0.04458712413907051,0.0,0.0
4281886474885416064,IRSA_ZTF,zg,58236.3984375,0.0,18.134737014770508,0.04722099378705025,0.0,0.0
4281886474885416064,IRSA_ZTF,zg,58237.41796875,0.0,18.12020492553711,0.04692574217915535,0.0,0.0
4281886474885416064,IRSA_ZTF,zg,58244.43359375,0.0,18.06730079650879,0.04588077589869499,0.0,0.0
4281886474885416064,IRSA_ZTF,zg,58246.46484375,0.0,18.04361343383789,0.04542776197195053,0.0,0.0
4281886474885416064,IRSA_ZTF,zg,58247.39453125,0.0,18.071779251098633,0.045967426151037216,0.0,0.0
4281886474885416064,IRSA_ZTF,zg,58255.3984375,0.0,18.198463439941406,0.04855902120471001,0.0,0.0
4281886474885416064,IRSA_ZTF,zg,58258.4609375,0.0,18.242950439453125,0.04953610152006149,0.0,0.0
4281886474885416064,IRSA_ZTF,zg,58261.4375,0.0,18.231924057006836,0.04929056391119957,0.0,0.0
4281886474885416064,IRSA_ZTF,zg,58263.44140625,0.0,18.304855346679688,0.05095713958144188,0.0,0.0
4281886474885416064,IRSA_ZTF,zg,58268.484375,0.0,18.348997116088867,0.05201564356684685,0.0,0.0
4281886474885416064,IRSA_ZTF,zg,58269.31640625,0.0,18.362197875976562,0.05233970284461975,0.0,0.0
4281886474885416064,IRSA_ZTF,zg,58270.4453125,0.0,18.372867584228516,0.052604224532842636,0.0,0.0
4281886474885416064,IRSA_ZTF,zg,58271.4609375,0.0,18.49782943725586,0.05587930232286453,0.0,0.0
4281886474885416064,IRSA_ZTF,zg,58273.4453125,0.0,18.322093963623047,0.05136595293879509,0.0,0.0
4281886474885416064,IRSA_ZTF,zg,58274.3984375,0.0,18.30963134765625,0.05106981098651886,0.0,0.0
4281886474885416064,IRSA_ZTF,zg,58275.44140625,0.0,18.347126007080078,0.0519699826836586,0.0,0.0
4281886474885416064,IRSA_ZTF,zg,58276.375,0.0,18.295602798461914,0.050740089267492294,0.0,0.0
4281886474885416064,IRSA_ZTF,zg,58277.375,0.0,18.22353172302246,0.049105171114206314,0.0,0.0
4281886474885416064,IRSA_ZTF,zg,58278.37890625,0.0,18.1717529296875,0.047989506274461746,0.0,0.0
4281886474885416064,IRSA_ZTF,zg,58279.35546875,0.0,18.194934844970703,0.04848305881023407,0.0,0.0
4281886474885416064,IRSA_ZTF,zg,58280.4140625,0.0,18.12894630432129,0.0471029207110405,0.0,0.0
4281886474885416064,IRSA_ZTF,zg,58281.37890625,0.0,18.204999923706055,0.048700328916311264,0.0,0.0
4281886474885416064,IRSA_ZTF,zg,58282.37890625,0.0,18.078216552734375,0.046092577278614044,0.0,0.0
4281886474885416064,IRSA_ZTF,zg,58283.40234375,0.0,18.11878204345703,0.04689701646566391,0.0,0.0
4281886474885416064,IRSA_ZTF,zg,58285.43359375,0.0,18.13304328918457,0.04718639329075813,0.0,0.0
4281886474885416064,IRSA_ZTF,zg,58286.40234375,0.0,18.0726375579834,0.04598407819867134,0.0,0.0
4281886474885416064,IRSA_ZTF,zg,58288.37890625,0.0,18.06684112548828,0.04587188735604286,0.0,0.0
4281886474885416064,IRSA_ZTF,zg,58289.37890625,0.0,18.079505920410156,0.046117737889289856,0.0,0.0
4281886474885416064,IRSA_ZTF,zg,58290.40234375,0.0,18.078392028808594,0.046096011996269226,0.0,0.0
4281886474885416064,IRSA_ZTF,zg,58292.4140625,0.0,18.11129379272461,0.04674645885825157,0.0,0.0
4281886474885416064,IRSA_ZTF,zg,58293.4140625,0.0,18.111186981201172,0.04674431309103966,0.0,0.0
4281886474885416064,IRSA_ZTF,zg,58294.359375,0.0,18.098649978637695,0.04649436101317406,0.0,0.0
4281886474885416064,IRSA_ZTF,zg,58298.24609375,0.0,18.137319564819336,0.04727385938167572,0.0,0.0
