inst,filter,mjd,mjderr,mag,magerr,flux,fluxerr
NEOWISE,W1,57065.8984375,0.0,8.61400032043457,0.013000000268220901,0.0,0.0
NEOWISE,W1,57990.65625,0.0,8.833999633789062,0.014999999664723873,0.0,0.0
NEOWISE,W1,58513.35546875,0.0,8.782999992370605,0.014000000432133675,0.0,0.0
NEOWISE,W1,57258.67578125,0.0,8.744999885559082,0.014000000432133675,0.0,0.0
NEOWISE,W1,56706.76953125,0.0,8.82800006866455,0.013000000268220901,0.0,0.0
NEOWISE,W1,58877.39453125,0.0,8.760000228881836,0.01600000075995922,0.0,0.0
NEOWISE,W1,57788.83984375,0.0,8.72599983215332,0.014999999664723873,0.0,0.0
NEOWISE,W1,57064.9140625,0.0,8.586000442504883,0.017999999225139618,0.0,0.0
NEOWISE,W1,57424.640625,0.0,8.628999710083008,0.014999999664723873,0.0,0.0
NEOWISE,W1,57989.54296875,0.0,8.824999809265137,0.014999999664723873,0.0,0.0
NEOWISE,W1,59816.5625,0.0,8.74899959564209,0.014999999664723873,0.0,0.0
NEOWISE,W1,58877.4609375,0.0,8.786999702453613,0.014999999664723873,0.0,0.0
NEOWISE,W1,59085.30859375,0.0,8.79699993133545,0.014999999664723873,0.0,0.0
NEOWISE,W1,56706.2421875,0.0,8.829999923706055,0.01600000075995922,0.0,0.0
NEOWISE,W1,57424.375,0.0,8.668000221252441,0.017000000923871994,0.0,0.0
NEOWISE,W1,57989.8046875,0.0,8.814000129699707,0.014000000432133675,0.0,0.0
NEOWISE,W1,59085.375,0.0,8.781000137329102,0.014999999664723873,0.0,0.0
NEOWISE,W1,56706.30859375,0.0,8.842000007629395,0.01600000075995922,0.0,0.0
NEOWISE,W1,57258.94140625,0.0,8.741000175476074,0.014000000432133675,0.0,0.0
NEOWISE,W1,59450.1640625,0.0,8.696000099182129,0.014999999664723873,0.0,0.0
NEOWISE,W1,59608.14453125,0.0,8.699000358581543,0.01600000075995922,0.0,0.0
NEOWISE,W1,57259.00390625,0.0,8.734000205993652,0.014999999664723873,0.0,0.0
NEOWISE,W1,57626.01953125,0.0,8.690999984741211,0.014999999664723873,0.0,0.0
NEOWISE,W1,57065.375,0.0,8.609999656677246,0.017999999225139618,0.0,0.0
NEOWISE,W1,59608.2109375,0.0,8.689000129699707,0.014999999664723873,0.0,0.0
NEOWISE,W1,59084.9140625,0.0,8.781999588012695,0.014999999664723873,0.0,0.0
NEOWISE,W1,59085.4375,0.0,8.786999702453613,0.014999999664723873,0.0,0.0
NEOWISE,W1,57623.00390625,0.0,8.666999816894531,0.014000000432133675,0.0,0.0
NEOWISE,W1,58512.6328125,0.0,8.807000160217285,0.020999999716877937,0.0,0.0
NEOWISE,W1,58876.87109375,0.0,8.807000160217285,0.01899999938905239,0.0,0.0
NEOWISE,W1,57990.1953125,0.0,8.814000129699707,0.014000000432133675,0.0,0.0
NEOWISE,W1,56705.91015625,0.0,8.829999923706055,0.01600000075995922,0.0,0.0
NEOWISE,W1,58877.1953125,0.0,8.782999992370605,0.01600000075995922,0.0,0.0
NEOWISE,W1,58721.859375,0.0,8.791000366210938,0.014999999664723873,0.0,0.0
