name,inst,filter,mjd,bjd,mag,magerr,flux,fluxerr
5617186348318629248,TESS,TGLC,0.0,58491.30644641025,0.0,0.0,0.9881816506385803,0.0
5617186348318629248,TESS,TGLC,0.0,58491.3272799016,0.0,0.0,0.9900376796722412,0.0
5617186348318629248,TESS,TGLC,0.0,58491.348113392014,0.0,0.0,0.9990389347076416,0.0
5617186348318629248,TESS,TGLC,0.0,58491.36894688243,0.0,0.0,0.994186520576477,0.0
5617186348318629248,TESS,TGLC,0.0,58491.389780371916,0.0,0.0,0.9963753819465637,0.0
5617186348318629248,TESS,TGLC,0.0,58491.410613860935,0.0,0.0,0.9959267377853394,0.0
5617186348318629248,TESS,TGLC,0.0,58491.43144734949,0.0,0.0,0.9999545216560364,0.0
5617186348318629248,TESS,TGLC,0.0,58491.45228083711,0.0,0.0,1.0093239545822144,0.0
5617186348318629248,TESS,TGLC,0.0,58491.47311432427,0.0,0.0,1.007524847984314,0.0
5617186348318629248,TESS,TGLC,0.0,58491.49394781096,0.0,0.0,1.009972333908081,0.0
5617186348318629248,TESS,TGLC,0.0,58491.51478129672,0.0,0.0,1.0122569799423218,0.0
5617186348318629248,TESS,TGLC,0.0,58491.53561478155,0.0,0.0,1.0026814937591553,0.0
5617186348318629248,TESS,TGLC,0.0,58491.55644826591,0.0,0.0,1.0022035837173462,0.0
5617186348318629248,TESS,TGLC,0.0,58491.57728174934,0.0,0.0,1.0067569017410278,0.0
5617186348318629248,TESS,TGLC,0.0,58491.59811523231,0.0,0.0,1.0034533739089966,0.0
5617186348318629248,TESS,TGLC,0.0,58491.61894871434,0.0,0.0,1.005038857460022,0.0
5617186348318629248,TESS,TGLC,0.0,58491.639782195445,0.0,0.0,0.997797429561615,0.0
5617186348318629248,TESS,TGLC,0.0,58491.66061567608,0.0,0.0,1.015547752380371,0.0
5617186348318629248,TESS,TGLC,0.0,58491.68144915532,0.0,0.0,1.001584768295288,0.0
5617186348318629248,TESS,TGLC,0.0,58491.702282634564,0.0,0.0,1.006468415260315,0.0
5617186348318629248,TESS,TGLC,0.0,58491.72311611241,0.0,0.0,1.0040934085845947,0.0
5617186348318629248,TESS,TGLC,0.0,58491.74394958932,0.0,0.0,1.007326364517212,0.0
5617186348318629248,TESS,TGLC,0.0,58491.764783065766,0.0,0.0,1.0051006078720093,0.0
5617186348318629248,TESS,TGLC,0.0,58491.78561654128,0.0,0.0,1.000183343887329,0.0
5617186348318629248,TESS,TGLC,0.0,58491.806450015865,0.0,0.0,1.0013288259506226,0.0
5617186348318629248,TESS,TGLC,0.0,58491.82728348998,0.0,0.0,1.001965045928955,0.0
5617186348318629248,TESS,TGLC,0.0,58491.848116962705,0.0,0.0,1.0023177862167358,0.0
5617186348318629248,TESS,TGLC,0.0,58491.86895043496,0.0,0.0,1.0027375221252441,0.0
5617186348318629248,TESS,TGLC,0.0,58491.889783906285,0.0,0.0,0.9987468123435974,0.0
5617186348318629248,TESS,TGLC,0.0,58491.91061737668,0.0,0.0,1.004410743713379,0.0
5617186348318629248,TESS,TGLC,0.0,58491.93145084614,0.0,0.0,1.0018229484558105,0.0
5617186348318629248,TESS,TGLC,0.0,58491.95228431467,0.0,0.0,1.0031367540359497,0.0
5617186348318629248,TESS,TGLC,0.0,58491.973117782734,0.0,0.0,1.0026116371154785,0.0
5617186348318629248,TESS,TGLC,0.0,58491.99395124987,0.0,0.0,1.003123164176941,0.0
5617186348318629248,TESS,TGLC,0.0,58492.01478471607,0.0,0.0,1.0032232999801636,0.0
5617186348318629248,TESS,TGLC,0.0,58492.035618180875,0.0,0.0,0.9977658987045288,0.0
5617186348318629248,TESS,TGLC,0.0,58492.056451645214,0.0,0.0,1.0049622058868408,0.0
5617186348318629248,TESS,TGLC,0.0,58492.07728510862,0.0,0.0,1.0000531673431396,0.0
5617186348318629248,TESS,TGLC,0.0,58492.0981185711,0.0,0.0,1.0044467449188232,0.0
5617186348318629248,TESS,TGLC,0.0,58492.118952032644,0.0,0.0,0.997870147228241,0.0
5617186348318629248,TESS,TGLC,0.0,58492.139785493724,0.0,0.0,1.005007266998291,0.0
5617186348318629248,TESS,TGLC,0.0,58492.16061895341,0.0,0.0,1.002873420715332,0.0
5617186348318629248,TESS,TGLC,0.0,58492.181452412624,0.0,0.0,1.00240957736969,0.0
5617186348318629248,TESS,TGLC,0.0,58492.202285870444,0.0,0.0,1.0028307437896729,0.0
5617186348318629248,TESS,TGLC,0.0,58492.2231193278,0.0,0.0,1.0032908916473389,0.0
5617186348318629248,TESS,TGLC,0.0,58492.243952783756,0.0,0.0,1.000213384628296,0.0
5617186348318629248,TESS,TGLC,0.0,58492.26478623925,0.0,0.0,1.0025933980941772,0.0
5617186348318629248,TESS,TGLC,0.0,58492.28561969381,0.0,0.0,1.0014569759368896,0.0
5617186348318629248,TESS,TGLC,0.0,58492.30645314744,0.0,0.0,1.0000900030136108,0.0
5617186348318629248,TESS,TGLC,0.0,58492.327286600135,0.0,0.0,1.0057839155197144,0.0
5617186348318629248,TESS,TGLC,0.0,58492.3481200519,0.0,0.0,0.9968586564064026,0.0
5617186348318629248,TESS,TGLC,0.0,58492.36895350274,0.0,0.0,0.998714029788971,0.0
5617186348318629248,TESS,TGLC,0.0,58492.38978695311,0.0,0.0,0.9909204244613647,0.0
5617186348318629248,TESS,TGLC,0.0,58492.410620402545,0.0,0.0,0.9959024786949158,0.0
5617186348318629248,TESS,TGLC,0.0,58492.431453850586,0.0,0.0,0.9963911771774292,0.0
5617186348318629248,TESS,TGLC,0.0,58492.45228729816,0.0,0.0,0.9979889988899231,0.0
5617186348318629248,TESS,TGLC,0.0,58492.47312074434,0.0,0.0,1.0037226676940918,0.0
5617186348318629248,TESS,TGLC,0.0,58492.49395419005,0.0,0.0,0.997308075428009,0.0
5617186348318629248,TESS,TGLC,0.0,58492.514787634835,0.0,0.0,0.9993438124656677,0.0
5617186348318629248,TESS,TGLC,0.0,58492.53562107822,0.0,0.0,0.9983599781990051,0.0
