inst,filter,mjd,mjderr,mag,magerr,flux,fluxerr
ZTF,zg,58205.51171875,0.0,13.857309341430664,0.01082946453243494,0.0,0.0
ZTF,zg,58206.4453125,0.0,13.890029907226562,0.010865660384297371,0.0,0.0
ZTF,zg,58207.5078125,0.0,13.860031127929688,0.010832464322447777,0.0,0.0
ZTF,zg,58208.52734375,0.0,13.854384422302246,0.01082624215632677,0.0,0.0
ZTF,zg,58209.4921875,0.0,13.830230712890625,0.010799722746014595,0.0,0.0
ZTF,zg,58210.515625,0.0,13.867003440856934,0.01084015890955925,0.0,0.0
ZTF,zg,58211.4921875,0.0,13.856528282165527,0.010828603990375996,0.0,0.0
ZTF,zg,58211.5078125,0.0,13.846625328063965,0.01081770658493042,0.0,0.0
ZTF,zg,58229.49609375,0.0,13.891263008117676,0.01086703035980463,0.0,0.0
ZTF,zg,58231.44140625,0.0,13.844264030456543,0.010815111920237541,0.0,0.0
ZTF,zg,58231.48828125,0.0,13.855413436889648,0.010827375575900078,0.0,0.0
ZTF,zg,58234.4453125,0.0,13.867600440979004,0.010840818285942078,0.0,0.0
ZTF,zg,58235.4296875,0.0,13.854230880737305,0.01082607265561819,0.0,0.0
ZTF,zg,58235.49609375,0.0,13.845660209655762,0.010816646739840508,0.0,0.0
ZTF,zg,58236.4296875,0.0,13.865062713623047,0.010838015004992485,0.0,0.0
ZTF,zg,58236.49609375,0.0,13.86584186553955,0.01083887554705143,0.0,0.0
ZTF,zg,58237.40234375,0.0,13.868937492370605,0.010842294432222843,0.0,0.0
ZTF,zg,58237.48828125,0.0,13.850902557373047,0.010822409763932228,0.0,0.0
ZTF,zg,58244.4453125,0.0,13.861673355102539,0.01083427481353283,0.0,0.0
ZTF,zg,58246.46875,0.0,13.869325637817383,0.010842723771929741,0.0,0.0
ZTF,zg,58247.390625,0.0,13.843708038330078,0.010814500972628593,0.0,0.0
ZTF,zg,58252.47265625,0.0,13.868449211120605,0.010841756127774715,0.0,0.0
ZTF,zg,58254.44140625,0.0,13.85815715789795,0.01083039864897728,0.0,0.0
ZTF,zg,58255.42578125,0.0,13.866559982299805,0.010839669033885002,0.0,0.0
ZTF,zg,58258.47265625,0.0,13.858004570007324,0.010830230079591274,0.0,0.0
ZTF,zg,58262.4453125,0.0,13.84611701965332,0.010817148722708225,0.0,0.0
ZTF,zg,58263.4453125,0.0,13.853869438171387,0.01082567498087883,0.0,0.0
ZTF,zg,58266.46875,0.0,13.831801414489746,0.010801441967487335,0.0,0.0
ZTF,zg,58267.47265625,0.0,13.875887870788574,0.010849980637431145,0.0,0.0
ZTF,zg,58268.47265625,0.0,13.856952667236328,0.010829071514308453,0.0,0.0
ZTF,zg,58269.4453125,0.0,13.85498332977295,0.010826901532709599,0.0,0.0
ZTF,zg,58270.4765625,0.0,13.840703010559082,0.01081120129674673,0.0,0.0
ZTF,zg,58271.46484375,0.0,13.88563060760498,0.010860777460038662,0.0,0.0
