inst,filter,mjd,mjderr,mag,magerr,flux,fluxerr
ZTF,zg,58258.48828125,0.0,14.595808982849121,0.016424793750047684,0.0,0.0
ZTF,zg,58262.4765625,0.0,14.583033561706543,0.01641189679503441,0.0,0.0
ZTF,zg,58263.46875,0.0,14.601255416870117,0.0164303220808506,0.0,0.0
ZTF,zg,58269.44921875,0.0,14.61776065826416,0.016447193920612335,0.0,0.0
ZTF,zg,58270.46875,0.0,14.59642219543457,0.016425414010882378,0.0,0.0
ZTF,zg,58272.43359375,0.0,14.618081092834473,0.0164475217461586,0.0,0.0
ZTF,zg,58273.46875,0.0,14.610774993896484,0.016440032050013542,0.0,0.0
ZTF,zg,58274.44921875,0.0,14.627593040466309,0.01645733043551445,0.0,0.0
ZTF,zg,58276.40625,0.0,14.629547119140625,0.016459351405501366,0.0,0.0
ZTF,zg,58278.4375,0.0,14.643035888671875,0.016473378986120224,0.0,0.0
ZTF,zg,58282.42578125,0.0,14.6237211227417,0.01645333133637905,0.0,0.0
ZTF,zg,58283.453125,0.0,14.650047302246094,0.016480717808008194,0.0,0.0
ZTF,zg,58288.4296875,0.0,14.620328903198242,0.016449835151433945,0.0,0.0
ZTF,zg,58289.42578125,0.0,14.60938835144043,0.016438612714409828,0.0,0.0
ZTF,zg,58292.453125,0.0,14.61841106414795,0.01644786074757576,0.0,0.0
ZTF,zg,58294.3828125,0.0,14.643088340759277,0.0164734348654747,0.0,0.0
ZTF,zg,58295.3828125,0.0,14.606534004211426,0.01643569953739643,0.0,0.0
ZTF,zg,58297.46875,0.0,14.63913631439209,0.016469312831759453,0.0,0.0
ZTF,zg,58298.46875,0.0,14.634354591369629,0.016464335843920708,0.0,0.0
ZTF,zg,58299.46875,0.0,14.601380348205566,0.01643044874072075,0.0,0.0
ZTF,zg,58300.47265625,0.0,14.614225387573242,0.016443565487861633,0.0,0.0
ZTF,zg,58301.47265625,0.0,14.590380668640137,0.0164193008095026,0.0,0.0
ZTF,zg,58302.44921875,0.0,14.60977554321289,0.016439009457826614,0.0,0.0
ZTF,zg,58305.47265625,0.0,14.620372772216797,0.016449879854917526,0.0,0.0
ZTF,zg,58307.453125,0.0,14.634239196777344,0.016464218497276306,0.0,0.0
ZTF,zg,58312.46875,0.0,14.586433410644531,0.016415318474173546,0.0,0.0
ZTF,zg,58313.48046875,0.0,14.58939266204834,0.016418304294347763,0.0,0.0
ZTF,zg,58314.46875,0.0,14.605873107910156,0.01643502339720726,0.0,0.0
ZTF,zg,58315.42578125,0.0,14.573739051818848,0.016402583569288254,0.0,0.0
ZTF,zg,58318.42578125,0.0,14.57088851928711,0.01639973744750023,0.0,0.0
ZTF,zg,58319.41015625,0.0,14.5969877243042,0.01642598770558834,0.0,0.0
ZTF,zg,58320.4765625,0.0,14.599457740783691,0.016428494825959206,0.0,0.0
ZTF,zg,58321.43359375,0.0,14.602104187011719,0.016431184485554695,0.0,0.0
ZTF,zg,58322.4453125,0.0,14.575626373291016,0.016404468566179276,0.0,0.0
ZTF,zg,58323.453125,0.0,14.562444686889648,0.016391335055232048,0.0,0.0
ZTF,zg,58324.44921875,0.0,14.6170654296875,0.01644647866487503,0.0,0.0
ZTF,zg,58325.42578125,0.0,14.601384162902832,0.016430452466011047,0.0,0.0
ZTF,zg,58326.46484375,0.0,14.654979705810547,0.016485903412103653,0.0,0.0
ZTF,zg,58327.47265625,0.0,14.635449409484863,0.016465475782752037,0.0,0.0
ZTF,zg,58329.4765625,0.0,14.565465927124023,0.01639433763921261,0.0,0.0
ZTF,zg,58330.47265625,0.0,14.596700668334961,0.01642569713294506,0.0,0.0
ZTF,zg,58331.46875,0.0,14.636991500854492,0.016467077657580376,0.0,0.0
ZTF,zg,58332.4609375,0.0,14.62550163269043,0.016455167904496193,0.0,0.0
ZTF,zg,58333.44140625,0.0,14.56718921661377,0.01639604941010475,0.0,0.0
ZTF,zg,58334.3203125,0.0,14.55941104888916,0.01638832874596119,0.0,0.0
ZTF,zg,58336.32421875,0.0,14.596951484680176,0.016425952315330505,0.0,0.0
ZTF,zg,58337.38671875,0.0,14.603906631469727,0.016433019191026688,0.0,0.0
ZTF,zg,58338.3984375,0.0,14.606654167175293,0.01643582247197628,0.0,0.0
ZTF,zg,58342.4296875,0.0,14.579846382141113,0.01640869677066803,0.0,0.0
ZTF,zg,58343.41015625,0.0,14.634184837341309,0.01646416075527668,0.0,0.0
ZTF,zg,58344.40234375,0.0,14.612161636352539,0.016441449522972107,0.0,0.0
ZTF,zg,58345.40625,0.0,14.588513374328613,0.01641741581261158,0.0,0.0
ZTF,zg,58346.36328125,0.0,14.573760032653809,0.016402604058384895,0.0,0.0
ZTF,zg,58347.34375,0.0,14.571714401245117,0.01640056073665619,0.0,0.0
ZTF,zg,58348.36328125,0.0,14.581387519836426,0.01641024649143219,0.0,0.0
ZTF,zg,58349.3984375,0.0,14.612862586975098,0.01644216664135456,0.0,0.0
ZTF,zg,58350.4296875,0.0,14.62267017364502,0.0164522472769022,0.0,0.0
ZTF,zg,58351.4375,0.0,14.585515022277832,0.016414394602179527,0.0,0.0
ZTF,zg,58352.390625,0.0,14.546789169311523,0.01637587696313858,0.0,0.0
ZTF,zg,58360.41015625,0.0,14.63237476348877,0.016462283208966255,0.0,0.0
ZTF,zg,58361.41015625,0.0,14.609315872192383,0.016438540071249008,0.0,0.0
ZTF,zg,58362.46875,0.0,14.573775291442871,0.01640261895954609,0.0,0.0
ZTF,zg,58363.30859375,0.0,14.587963104248047,0.01641686074435711,0.0,0.0
ZTF,zg,58364.26171875,0.0,14.586671829223633,0.016415558755397797,0.0,0.0
ZTF,zg,58365.30078125,0.0,14.591951370239258,0.016420887783169746,0.0,0.0
ZTF,zg,58366.41015625,0.0,14.613658905029297,0.016442984342575073,0.0,0.0
ZTF,zg,58367.3125,0.0,14.619070053100586,0.01644854061305523,0.0,0.0
ZTF,zg,58368.37109375,0.0,14.593873977661133,0.016422832384705544,0.0,0.0
ZTF,zg,58369.31640625,0.0,14.588360786437988,0.016417261213064194,0.0,0.0
ZTF,zg,58370.36328125,0.0,14.594191551208496,0.01642315275967121,0.0,0.0
ZTF,zg,58371.36328125,0.0,14.613031387329102,0.01644233986735344,0.0,0.0
ZTF,zg,58372.41015625,0.0,14.612861633300781,0.01644216664135456,0.0,0.0
ZTF,zg,58373.38671875,0.0,14.632845878601074,0.016462771221995354,0.0,0.0
ZTF,zg,58374.40625,0.0,14.574573516845703,0.01640341617166996,0.0,0.0
ZTF,zg,58375.3046875,0.0,14.607651710510254,0.01643683947622776,0.0,0.0
ZTF,zg,58376.31640625,0.0,14.607752799987793,0.01643694005906582,0.0,0.0
ZTF,zg,58377.34765625,0.0,14.618477821350098,0.01644792966544628,0.0,0.0
ZTF,zg,58378.34375,0.0,14.580904960632324,0.01640976034104824,0.0,0.0
ZTF,zg,58379.34765625,0.0,14.613272666931152,0.016442589461803436,0.0,0.0
ZTF,zg,58397.36328125,0.0,14.576659202575684,0.016405504196882248,0.0,0.0
ZTF,zg,58400.27734375,0.0,14.631904602050781,0.016461793333292007,0.0,0.0
ZTF,zg,58426.3203125,0.0,14.60238265991211,0.016431469470262527,0.0,0.0
ZTF,zg,58428.1953125,0.0,14.588235855102539,0.016417136415839195,0.0,0.0
ZTF,zg,58429.2421875,0.0,14.566888809204102,0.016395751386880875,0.0,0.0
ZTF,zg,58430.2578125,0.0,14.611807823181152,0.016441088169813156,0.0,0.0
ZTF,zg,58431.2265625,0.0,14.59620189666748,0.01642519049346447,0.0,0.0
ZTF,zg,58434.26171875,0.0,14.597527503967285,0.016426535323262215,0.0,0.0
ZTF,zg,58435.22265625,0.0,14.604960441589355,0.016434093937277794,0.0,0.0
ZTF,zg,58436.234375,0.0,14.574671745300293,0.01640351489186287,0.0,0.0
ZTF,zg,58437.23828125,0.0,14.587434768676758,0.01641632802784443,0.0,0.0
ZTF,zg,58441.26171875,0.0,14.598923683166504,0.01642795093357563,0.0,0.0
ZTF,zg,58457.1171875,0.0,14.634974479675293,0.01646498031914234,0.0,0.0
ZTF,zg,58469.16015625,0.0,14.578461647033691,0.016407310962677002,0.0,0.0
ZTF,zg,58471.1015625,0.0,14.585610389709473,0.016414489597082138,0.0,0.0
ZTF,zg,58472.18359375,0.0,14.589035034179688,0.016417942941188812,0.0,0.0
ZTF,zg,58483.11328125,0.0,14.581300735473633,0.016410157084465027,0.0,0.0
ZTF,zg,58486.15625,0.0,14.597673416137695,0.016426680609583855,0.0,0.0
ZTF,zg,58487.16015625,0.0,14.592079162597656,0.016421016305685043,0.0,0.0
ZTF,zg,58491.13671875,0.0,14.595990180969238,0.01642497442662716,0.0,0.0
ZTF,zg,58493.17578125,0.0,14.62468147277832,0.016454322263598442,0.0,0.0
ZTF,zg,58494.140625,0.0,14.586882591247559,0.01641577109694481,0.0,0.0
ZTF,zg,58503.19921875,0.0,14.591933250427246,0.016420867294073105,0.0,0.0
ZTF,zg,58505.15625,0.0,14.619521141052246,0.016449004411697388,0.0,0.0
ZTF,zg,58507.17578125,0.0,14.583195686340332,0.01641206070780754,0.0,0.0
ZTF,zg,58508.1875,0.0,14.581089973449707,0.016409946605563164,0.0,0.0
ZTF,zg,58509.1796875,0.0,14.588547706604004,0.016417451202869415,0.0,0.0
ZTF,zg,58510.15625,0.0,14.568469047546387,0.016397325322031975,0.0,0.0
ZTF,zg,58511.140625,0.0,14.57612419128418,0.01640496775507927,0.0,0.0
ZTF,zg,58514.17578125,0.0,14.536468505859375,0.016365770250558853,0.0,0.0
ZTF,zg,58539.13671875,0.0,14.553943634033203,0.01638292521238327,0.0,0.0
ZTF,zg,58540.13671875,0.0,14.560273170471191,0.016389183700084686,0.0,0.0
ZTF,zg,58642.421875,0.0,14.583935737609863,0.016412805765867233,0.0,0.0
ZTF,zg,58646.453125,0.0,14.564414024353027,0.01639329269528389,0.0,0.0
