inst,filter,mjd,mjderr,mag,magerr,flux,fluxerr
ZTF,zg,58206.14453125,0.0,17.343860626220703,0.02916085347533226,0.0,0.0
ZTF,zg,58291.453125,0.0,17.54355239868164,0.031581636518239975,0.0,0.0
ZTF,zg,58293.44921875,0.0,17.517574310302734,0.031244127079844475,0.0,0.0
ZTF,zg,58302.44921875,0.0,17.420852661132812,0.030048208311200142,0.0,0.0
ZTF,zg,58303.44921875,0.0,17.327438354492188,0.02897859923541546,0.0,0.0
ZTF,zg,58304.47265625,0.0,17.500608444213867,0.031027520075440407,0.0,0.0
ZTF,zg,58305.46875,0.0,17.307205200195312,0.028757337480783463,0.0,0.0
ZTF,zg,58312.46875,0.0,17.43658447265625,0.030236395075917244,0.0,0.0
ZTF,zg,58313.46875,0.0,17.271774291992188,0.0283784419298172,0.0,0.0
ZTF,zg,58314.47265625,0.0,17.52225112915039,0.03130436688661575,0.0,0.0
ZTF,zg,58315.453125,0.0,17.415302276611328,0.02998237870633602,0.0,0.0
ZTF,zg,58316.42578125,0.0,17.22677230834961,0.027912432327866554,0.0,0.0
ZTF,zg,58318.421875,0.0,17.45014762878418,0.030400589108467102,0.0,0.0
ZTF,zg,58319.43359375,0.0,17.2716064453125,0.028376668691635132,0.0,0.0
ZTF,zg,58320.47265625,0.0,17.314632415771484,0.0288381464779377,0.0,0.0
ZTF,zg,58321.44921875,0.0,17.21894073486328,0.027833040803670883,0.0,0.0
ZTF,zg,58322.46875,0.0,17.476360321044922,0.03072305954992771,0.0,0.0
ZTF,zg,58324.44921875,0.0,17.27789878845215,0.028443165123462677,0.0,0.0
ZTF,zg,58325.44921875,0.0,17.45608139038086,0.03047299198806286,0.0,0.0
ZTF,zg,58329.47265625,0.0,17.328475952148438,0.028990041464567184,0.0,0.0
ZTF,zg,58330.46875,0.0,17.421783447265625,0.030059266835451126,0.0,0.0
ZTF,zg,58331.47265625,0.0,17.198562622070312,0.02762874960899353,0.0,0.0
ZTF,zg,58333.47265625,0.0,17.348411560058594,0.02921178936958313,0.0,0.0
ZTF,zg,58334.46875,0.0,17.240633010864258,0.02805417589843273,0.0,0.0
ZTF,zg,58335.48828125,0.0,17.452720642089844,0.03043193370103836,0.0,0.0
ZTF,zg,58336.48828125,0.0,17.195323944091797,0.02759658358991146,0.0,0.0
ZTF,zg,58337.40234375,0.0,17.254226684570312,0.028194734826683998,0.0,0.0
ZTF,zg,58338.421875,0.0,17.326812744140625,0.028971703723073006,0.0,0.0
ZTF,zg,58340.5,0.0,17.448514938354492,0.030380722135305405,0.0,0.0
ZTF,zg,58342.4296875,0.0,17.197490692138672,0.02761809714138508,0.0,0.0
ZTF,zg,58343.4296875,0.0,17.35350799560547,0.02926904894411564,0.0,0.0
ZTF,zg,58344.49609375,0.0,17.26720428466797,0.02833034284412861,0.0,0.0
ZTF,zg,58345.42578125,0.0,17.232219696044922,0.02796795777976513,0.0,0.0
ZTF,zg,58346.46484375,0.0,17.450664520263672,0.030406886711716652,0.0,0.0
ZTF,zg,58347.47265625,0.0,17.297019958496094,0.02864731103181839,0.0,0.0
ZTF,zg,58348.46875,0.0,17.463668823242188,0.03056606650352478,0.0,0.0
ZTF,zg,58349.40625,0.0,17.416545867919922,0.029997099190950394,0.0,0.0
ZTF,zg,58350.48046875,0.0,17.436927795410156,0.030240530148148537,0.0,0.0
ZTF,zg,58351.46875,0.0,17.4627742767334,0.03055506758391857,0.0,0.0
ZTF,zg,58352.4453125,0.0,17.28076934814453,0.028473610058426857,0.0,0.0
ZTF,zg,58362.48828125,0.0,17.208091735839844,0.02772386744618416,0.0,0.0
ZTF,zg,58363.359375,0.0,17.40256690979004,0.02983243204653263,0.0,0.0
ZTF,zg,58364.421875,0.0,17.39057159423828,0.029692618176341057,0.0,0.0
ZTF,zg,58365.44921875,0.0,17.30744743347168,0.028759963810443878,0.0,0.0
ZTF,zg,58366.421875,0.0,17.24190330505371,0.028067247942090034,0.0,0.0
ZTF,zg,58367.41015625,0.0,17.457767486572266,0.03049362450838089,0.0,0.0
ZTF,zg,58368.4140625,0.0,17.369853973388672,0.029454296454787254,0.0,0.0
ZTF,zg,58369.44921875,0.0,17.451162338256836,0.03041294403374195,0.0,0.0
ZTF,zg,58370.4453125,0.0,17.368009567260742,0.029433272778987885,0.0,0.0
ZTF,zg,58371.390625,0.0,17.405384063720703,0.029865477234125137,0.0,0.0
ZTF,zg,58372.45703125,0.0,17.527801513671875,0.031376149505376816,0.0,0.0
ZTF,zg,58373.4296875,0.0,17.363677978515625,0.029384015128016472,0.0,0.0
ZTF,zg,58374.42578125,0.0,17.292430877685547,0.028598034754395485,0.0,0.0
ZTF,zg,58375.45703125,0.0,17.449405670166016,0.030391566455364227,0.0,0.0
ZTF,zg,58376.4765625,0.0,17.373802185058594,0.02949940599501133,0.0,0.0
ZTF,zg,58377.39453125,0.0,17.296955108642578,0.028646614402532578,0.0,0.0
ZTF,zg,58378.45703125,0.0,17.262779235839844,0.028283944353461266,0.0,0.0
ZTF,zg,58379.453125,0.0,17.36513900756836,0.029400615021586418,0.0,0.0
ZTF,zg,58382.421875,0.0,17.29697036743164,0.02864678204059601,0.0,0.0
ZTF,zg,58383.4765625,0.0,17.32119369506836,0.02890993282198906,0.0,0.0
ZTF,zg,58384.49609375,0.0,17.48883056640625,0.030878892168402672,0.0,0.0
ZTF,zg,58385.47265625,0.0,17.454086303710938,0.030448606237769127,0.0,0.0
ZTF,zg,58386.4921875,0.0,17.32250213623047,0.028924284502863884,0.0,0.0
ZTF,zg,58387.28125,0.0,17.3349552154541,0.029061729088425636,0.0,0.0
ZTF,zg,58388.421875,0.0,17.50220489501953,0.031047774478793144,0.0,0.0
ZTF,zg,58389.40625,0.0,17.37518310546875,0.029515214264392853,0.0,0.0
ZTF,zg,58390.3359375,0.0,17.456523895263672,0.030478402972221375,0.0,0.0
ZTF,zg,58397.3671875,0.0,17.52337646484375,0.031318891793489456,0.0,0.0
ZTF,zg,58423.40234375,0.0,17.42430305480957,0.030089275911450386,0.0,0.0
ZTF,zg,58424.3671875,0.0,17.256805419921875,0.02822156809270382,0.0,0.0
ZTF,zg,58425.33984375,0.0,17.273408889770508,0.02839568257331848,0.0,0.0
ZTF,zg,58426.3359375,0.0,17.51491928100586,0.031210027635097504,0.0,0.0
ZTF,zg,58428.3046875,0.0,17.23566436767578,0.028003182262182236,0.0,0.0
ZTF,zg,58430.2734375,0.0,17.502500534057617,0.031051527708768845,0.0,0.0
ZTF,zg,58431.24609375,0.0,17.350502014160156,0.029235241934657097,0.0,0.0
ZTF,zg,58432.23828125,0.0,17.29701042175293,0.028647206723690033,0.0,0.0
ZTF,zg,58435.2265625,0.0,17.344684600830078,0.02917005866765976,0.0,0.0
ZTF,zg,58437.40625,0.0,17.302810668945312,0.028709759935736656,0.0,0.0
ZTF,zg,58441.4453125,0.0,17.313934326171875,0.028830528259277344,0.0,0.0
ZTF,zg,58443.21484375,0.0,17.320955276489258,0.02890731580555439,0.0,0.0
ZTF,zg,58457.13671875,0.0,17.239978790283203,0.028047457337379456,0.0,0.0
