inst,filter,mjd,mjderr,mag,magerr,flux,fluxerr
ATLAS,o,59601.1015625,0.0,15.670000076293945,0.014999999664723873,1960.0,30.0
ATLAS,o,59601.109375,0.0,15.64799976348877,0.014999999664723873,1999.0,30.0
ATLAS,o,59601.11328125,0.0,15.618000030517578,0.01600000075995922,2056.0,34.0
ATLAS,o,59601.125,0.0,15.666999816894531,0.04800000041723251,1965.0,94.0
ATLAS,o,59605.09375,0.0,15.739999771118164,0.019999999552965164,1837.0,37.0
ATLAS,o,59605.10546875,0.0,15.668000221252441,0.013000000268220901,1963.0,25.0
ATLAS,o,59605.109375,0.0,15.609999656677246,0.012000000104308128,2070.0,25.0
ATLAS,o,59605.125,0.0,15.682999610900879,0.028999999165534973,1936.0,56.0
ATLAS,c,59608.08203125,0.0,17.579999923706055,0.04800000041723251,337.0,16.0
ATLAS,c,59608.08203125,0.0,17.5049991607666,0.041999999433755875,362.0,15.0
ATLAS,c,59608.08984375,0.0,17.551000595092773,0.04600000008940697,346.0,16.0
ATLAS,c,59608.10546875,0.0,17.631999969482422,0.04600000008940697,322.0,15.0
ATLAS,c,59614.0234375,0.0,17.5049991607666,0.04100000113248825,361.0,15.0
ATLAS,c,59614.0234375,0.0,17.590999603271484,0.039000000804662704,334.0,13.0
ATLAS,c,59614.05078125,0.0,17.513999938964844,0.0430000014603138,358.0,16.0
ATLAS,c,59617.984375,0.0,17.52899932861328,0.04399999976158142,353.0,16.0
ATLAS,c,59617.98828125,0.0,17.66200065612793,0.04800000041723251,313.0,15.0
ATLAS,c,59617.9921875,0.0,17.56800079345703,0.04600000008940697,341.0,16.0
ATLAS,c,59618.00390625,0.0,17.58099937438965,0.04600000008940697,337.0,16.0
ATLAS,o,59628.26953125,0.0,15.581000328063965,0.014999999664723873,2127.0,32.0
ATLAS,o,59628.27734375,0.0,15.607999801635742,0.014999999664723873,2075.0,32.0
ATLAS,o,59628.29296875,0.0,15.59000015258789,0.014000000432133675,2108.0,30.0
ATLAS,o,59628.3046875,0.0,15.598999977111816,0.017000000923871994,2091.0,35.0
ATLAS,o,59632.31640625,0.0,15.63700008392334,0.014999999664723873,2020.0,30.0
ATLAS,o,59632.31640625,0.0,15.626999855041504,0.014000000432133675,2038.0,28.0
ATLAS,o,59632.3203125,0.0,15.72599983215332,0.014000000432133675,1860.0,27.0
ATLAS,o,59632.32421875,0.0,15.66100025177002,0.014999999664723873,1974.0,29.0
ATLAS,o,59636.359375,0.0,15.581999778747559,0.010999999940395355,2124.0,24.0
ATLAS,o,59636.390625,0.0,15.581999778747559,0.012000000104308128,2125.0,25.0
ATLAS,o,59638.24609375,0.0,15.678000450134277,0.012000000104308128,1944.0,24.0
ATLAS,o,59638.25,0.0,15.692999839782715,0.012000000104308128,1918.0,24.0
ATLAS,o,59638.25,0.0,15.657999992370605,0.013000000268220901,1980.0,26.0
ATLAS,o,59638.25390625,0.0,15.697999954223633,0.012000000104308128,1908.0,23.0
ATLAS,o,59638.26953125,0.0,15.505999565124512,0.012000000104308128,2278.0,27.0
ATLAS,o,59638.26953125,0.0,15.666999816894531,0.010999999940395355,1964.0,22.0
ATLAS,o,59638.2734375,0.0,15.673999786376953,0.012000000104308128,1952.0,24.0
ATLAS,o,59638.2734375,0.0,15.701000213623047,0.010999999940395355,1904.0,22.0
ATLAS,c,59639.27734375,0.0,17.4689998626709,0.03700000047683716,374.0,14.0
ATLAS,c,59639.27734375,0.0,17.395999908447266,0.03200000151991844,400.0,13.0
ATLAS,c,59639.28125,0.0,17.43899917602539,0.029999999329447746,384.0,12.0
ATLAS,c,59639.3046875,0.0,17.465999603271484,0.03500000014901161,375.0,13.0
ATLAS,c,59640.2109375,0.0,17.5049991607666,0.041999999433755875,362.0,15.0
ATLAS,c,59640.21484375,0.0,17.469999313354492,0.04100000113248825,373.0,15.0
ATLAS,c,59640.23828125,0.0,17.378999710083008,0.03799999877810478,406.0,16.0
ATLAS,c,59640.2421875,0.0,17.441999435424805,0.03400000184774399,383.0,13.0
ATLAS,c,59640.27734375,0.0,17.4950008392334,0.041999999433755875,365.0,15.0
ATLAS,c,59640.28125,0.0,17.520000457763672,0.03799999877810478,356.0,14.0
ATLAS,c,59640.2890625,0.0,17.466999053955078,0.03400000184774399,374.0,13.0
ATLAS,c,59640.29296875,0.0,17.423999786376953,0.032999999821186066,389.0,13.0
ATLAS,o,59641.25390625,0.0,15.604999542236328,0.012000000104308128,2079.0,26.0
ATLAS,o,59641.26953125,0.0,15.642999649047852,0.012000000104308128,2009.0,24.0
ATLAS,o,59641.2734375,0.0,15.625,0.012000000104308128,2042.0,25.0
ATLAS,o,59641.27734375,0.0,15.668999671936035,0.013000000268220901,1961.0,25.0
ATLAS,o,59642.24609375,0.0,15.661999702453613,0.013000000268220901,1974.0,25.0
ATLAS,o,59642.25390625,0.0,15.689000129699707,0.012000000104308128,1925.0,24.0
ATLAS,o,59642.2578125,0.0,15.668000221252441,0.012000000104308128,1963.0,24.0
ATLAS,o,59642.2578125,0.0,15.484000205993652,0.012000000104308128,2324.0,28.0
ATLAS,o,59642.26953125,0.0,15.5,0.012000000104308128,2291.0,28.0
ATLAS,o,59642.26953125,0.0,15.687000274658203,0.012000000104308128,1928.0,23.0
ATLAS,o,59642.28515625,0.0,15.687999725341797,0.012000000104308128,1926.0,22.0
ATLAS,o,59642.2890625,0.0,15.67199993133545,0.010999999940395355,1955.0,22.0
ATLAS,c,59644.2421875,0.0,17.40399932861328,0.03099999949336052,396.0,12.0
ATLAS,c,59644.2421875,0.0,17.39900016784668,0.03400000184774399,398.0,13.0
ATLAS,c,59644.25,0.0,17.48900032043457,0.039000000804662704,367.0,14.0
ATLAS,c,59644.25390625,0.0,17.38800048828125,0.03099999949336052,402.0,12.0
ATLAS,o,59652.24609375,0.0,15.597999572753906,0.013000000268220901,2094.0,28.0
ATLAS,o,59652.25,0.0,15.751999855041504,0.014000000432133675,1816.0,25.0
ATLAS,o,59652.25390625,0.0,15.739999771118164,0.014000000432133675,1837.0,25.0
ATLAS,o,59652.26171875,0.0,15.717000007629395,0.013000000268220901,1876.0,25.0
ATLAS,o,59654.01171875,0.0,15.767000198364258,0.019999999552965164,1791.0,35.0
ATLAS,o,59654.04296875,0.0,15.772000312805176,0.014000000432133675,1784.0,26.0
ATLAS,o,59654.046875,0.0,15.729999542236328,0.014999999664723873,1854.0,27.0
ATLAS,o,59654.05078125,0.0,15.666999816894531,0.013000000268220901,1964.0,26.0
ATLAS,o,59654.0546875,0.0,15.708999633789062,0.014000000432133675,1889.0,27.0
ATLAS,o,59654.0546875,0.0,15.741999626159668,0.01600000075995922,1833.0,30.0
ATLAS,o,59654.078125,0.0,15.697999954223633,0.014000000432133675,1909.0,26.0
ATLAS,o,59654.08203125,0.0,15.668000221252441,0.012000000104308128,1963.0,24.0
ATLAS,o,59656.27734375,0.0,15.647000312805176,0.017000000923871994,2001.0,35.0
ATLAS,o,59656.28125,0.0,15.715999603271484,0.019999999552965164,1877.0,38.0
ATLAS,o,59656.2890625,0.0,15.62399959564209,0.019999999552965164,2044.0,40.0
ATLAS,o,59656.296875,0.0,15.663999557495117,0.01899999938905239,1969.0,38.0
ATLAS,o,59660.2109375,0.0,15.621000289916992,0.014000000432133675,2050.0,29.0
ATLAS,o,59660.21484375,0.0,15.628000259399414,0.013000000268220901,2036.0,27.0
ATLAS,o,59660.21875,0.0,15.656000137329102,0.014000000432133675,1984.0,28.0
ATLAS,o,59660.23828125,0.0,15.640000343322754,0.014000000432133675,2014.0,29.0
ATLAS,o,59664.28515625,0.0,15.545999526977539,0.012000000104308128,2196.0,26.0
ATLAS,o,59664.2890625,0.0,15.536999702453613,0.010999999940395355,2215.0,24.0
ATLAS,o,59664.30859375,0.0,15.553999900817871,0.012000000104308128,2179.0,26.0
ATLAS,o,59664.3203125,0.0,15.52299976348877,0.012000000104308128,2243.0,26.0
ATLAS,c,59665.9609375,0.0,17.325000762939453,0.02800000086426735,426.0,12.0
ATLAS,c,59665.9609375,0.0,17.34600067138672,0.03200000151991844,419.0,13.0
ATLAS,c,59665.96484375,0.0,17.35700035095215,0.03200000151991844,414.0,13.0
ATLAS,c,59665.984375,0.0,17.33799934387207,0.026000000536441803,421.0,11.0
ATLAS,o,59668.1796875,0.0,15.687000274658203,0.012000000104308128,1928.0,22.0
ATLAS,o,59668.18359375,0.0,15.689000129699707,0.012000000104308128,1925.0,23.0
ATLAS,o,59668.20703125,0.0,15.687999725341797,0.012000000104308128,1926.0,24.0
ATLAS,o,59668.2109375,0.0,15.663000106811523,0.013000000268220901,1972.0,27.0
ATLAS,o,59672.22265625,0.0,15.543000221252441,0.012000000104308128,2203.0,27.0
ATLAS,o,59672.2265625,0.0,15.553000450134277,0.013000000268220901,2182.0,27.0
ATLAS,o,59672.23046875,0.0,15.569999694824219,0.013000000268220901,2148.0,28.0
ATLAS,o,59672.2421875,0.0,15.543999671936035,0.013000000268220901,2200.0,28.0
ATLAS,o,59676.1875,0.0,15.704999923706055,0.012000000104308128,1897.0,23.0
ATLAS,o,59676.1875,0.0,15.670999526977539,0.010999999940395355,1957.0,22.0
ATLAS,o,59676.19140625,0.0,15.71399974822998,0.010999999940395355,1881.0,21.0
ATLAS,o,59676.20703125,0.0,15.51200008392334,0.012000000104308128,2266.0,27.0
ATLAS,o,59680.203125,0.0,15.574000358581543,0.013000000268220901,2140.0,28.0
