inst,filter,mjd,mjderr,mag,magerr,flux,fluxerr
ATLAS,o,57230.3671875,0.0,15.017999649047852,0.01600000075995922,3572.0,57.0
ATLAS,o,57230.3671875,0.0,14.977999687194824,0.014000000432133675,3704.0,51.0
ATLAS,o,57230.390625,0.0,15.178999900817871,0.03500000014901161,3079.0,109.0
ATLAS,o,57230.41796875,0.0,15.003000259399414,0.014999999664723873,3622.0,53.0
ATLAS,o,57230.45703125,0.0,14.972000122070312,0.012000000104308128,3725.0,45.0
ATLAS,c,57248.34765625,0.0,16.496000289916992,0.026000000536441803,915.0,24.0
ATLAS,c,57248.34765625,0.0,16.459999084472656,0.029999999329447746,946.0,29.0
ATLAS,c,57248.3515625,0.0,16.457000732421875,0.027000000700354576,949.0,26.0
ATLAS,c,57248.3671875,0.0,16.422000885009766,0.024000000208616257,980.0,23.0
ATLAS,c,57248.37109375,0.0,16.433000564575195,0.026000000536441803,970.0,26.0
ATLAS,c,57248.375,0.0,16.422000885009766,0.03400000184774399,980.0,34.0
ATLAS,c,57248.39453125,0.0,16.37299919128418,0.02199999988079071,1026.0,22.0
ATLAS,c,57248.421875,0.0,16.4060001373291,0.024000000208616257,994.0,23.0
ATLAS,c,57250.3515625,0.0,16.464000701904297,0.027000000700354576,943.0,25.0
ATLAS,c,57250.3515625,0.0,16.469999313354492,0.02500000037252903,938.0,24.0
ATLAS,c,57250.3671875,0.0,16.391000747680664,0.020999999716877937,1008.0,21.0
ATLAS,c,57250.37109375,0.0,16.493999481201172,0.03799999877810478,917.0,35.0
ATLAS,c,57250.39453125,0.0,16.448999404907227,0.03200000151991844,956.0,30.0
ATLAS,c,57250.421875,0.0,16.472000122070312,0.027000000700354576,936.0,25.0
ATLAS,c,57277.30078125,0.0,16.42099952697754,0.026000000536441803,981.0,25.0
ATLAS,c,57277.3046875,0.0,16.42099952697754,0.026000000536441803,980.0,26.0
ATLAS,c,57277.3203125,0.0,16.454999923706055,0.027000000700354576,950.0,26.0
ATLAS,c,57277.32421875,0.0,16.43199920654297,0.02800000086426735,971.0,28.0
ATLAS,c,57277.33203125,0.0,16.45599937438965,0.02500000037252903,950.0,24.0
ATLAS,c,57277.35546875,0.0,16.426000595092773,0.027000000700354576,977.0,27.0
ATLAS,c,57277.359375,0.0,16.45800018310547,0.024000000208616257,948.0,22.0
ATLAS,c,57277.37890625,0.0,16.44700050354004,0.03099999949336052,958.0,30.0
ATLAS,c,57284.31640625,0.0,16.41200065612793,0.04100000113248825,989.0,41.0
ATLAS,c,57284.328125,0.0,16.402000427246094,0.03400000184774399,998.0,34.0
ATLAS,c,57313.29296875,0.0,16.56599998474121,0.03999999910593033,858.0,34.0
ATLAS,c,57313.3203125,0.0,16.4950008392334,0.03799999877810478,916.0,35.0
ATLAS,o,57319.203125,0.0,14.994999885559082,0.03400000184774399,3647.0,126.0
ATLAS,o,57319.203125,0.0,15.102999687194824,0.03200000151991844,3303.0,104.0
ATLAS,o,57319.203125,0.0,15.133999824523926,0.032999999821186066,3209.0,105.0
ATLAS,o,57319.22265625,0.0,15.104000091552734,0.03500000014901161,3300.0,117.0
ATLAS,o,57319.24609375,0.0,15.02299976348877,0.023000000044703484,3555.0,82.0
ATLAS,o,57319.26171875,0.0,15.079999923706055,0.020999999716877937,3374.0,72.0
ATLAS,o,57319.27734375,0.0,15.083000183105469,0.024000000208616257,3364.0,80.0
ATLAS,o,57319.29296875,0.0,15.092000007629395,0.020999999716877937,3336.0,71.0
ATLAS,o,57322.19921875,0.0,15.003000259399414,0.027000000700354576,3619.0,99.0
