index,DR3_source_id,ra,dec,ZTF,NUMBER_IN,FILENAME,X_POS,Y_POS,MJD-OBS,OBJECT,FILTER,EXPTIME,S-SEEING,AIRMASS,PC-ZP,PC-ZPSTD,QC-FLAG,TQC-FLAG,FLAGS_MASK,BACKGROUND,MAG_OPT,MAGERR_OPT,SNR_OPT,LIMMAG_OPT,FNU_OPT,FNUERR_OPT,MAG_APER_R0.66xFWHM,MAGERR_APER_R0.66xFWHM,SNR_APER_R0.66xFWHM,FNU_APER_R0.66xFWHM,FNUERR_APER_R0.66xFWHM,MAG_APER_R1.5xFWHM,MAGERR_APER_R1.5xFWHM,SNR_APER_R1.5xFWHM,FNU_APER_R1.5xFWHM,FNUERR_APER_R1.5xFWHM,MAG_APER_R5xFWHM,MAGERR_APER_R5xFWHM,SNR_APER_R5xFWHM,FNU_APER_R5xFWHM,FNUERR_APER_R5xFWHM,MAG_ZOGY,MAGERR_ZOGY,SNR_ZOGY,LIMMAG_ZOGY,FNU_ZOGY,FNUERR_ZOGY,X_POS_REF,Y_POS_REF,FLAGS_MASK_REF,BACKGROUND_REF,MAG_OPT_REF,MAGERR_OPT_REF,SNR_OPT_REF,LIMMAG_OPT_REF,FNU_OPT_REF,FNUERR_OPT_REF,MAG_APER_R0.66xFWHM_REF,MAGERR_APER_R0.66xFWHM_REF,SNR_APER_R0.66xFWHM_REF,FNU_APER_R0.66xFWHM_REF,FNUERR_APER_R0.66xFWHM_REF,MAG_APER_R1.5xFWHM_REF,MAGERR_APER_R1.5xFWHM_REF,SNR_APER_R1.5xFWHM_REF,FNU_APER_R1.5xFWHM_REF,FNUERR_APER_R1.5xFWHM_REF,MAG_APER_R5xFWHM_REF,MAGERR_APER_R5xFWHM_REF,SNR_APER_R5xFWHM_REF,FNU_APER_R5xFWHM_REF,FNUERR_APER_R5xFWHM_REF,MAG_ZOGY_PLUSREF,MAGERR_ZOGY_PLUSREF,SNR_ZOGY_PLUSREF
34,6123873398383875456,212.0047986,-33.2619834,No,19,ML1_20210619_190741_red,8477.07158975345,2157.959014858902,59384.79701261959,16133,g,60.0,4.116036,1.0021338,23.087656,0.022107549,yellow,yellow,0,2.8205435,11.793343,9.07423E-4,1196.5051,17.967344,69608.586,58.176594,12.185918,0.0010484414,1035.5717,48487.785,46.822243,11.82749,9.413604E-4,1153.3693,67453.375,58.48376,11.780666,0.0019225626,564.7338,70426.086,124.706696,15.680457,0.025738314,-2.9812303,17.797785,1940.068,45.990986,3074.99489291345,8590.057388930176,0,3.6280184,11.7698345,8.6602836E-4,1253.6959,17.918583,71132.17,56.73798,12.409673,0.001144118,948.9721,39457.56,41.57926,11.847517,8.8670204E-4,1224.4657,66220.58,54.081203,11.766914,9.567761E-4,1134.786,71323.73,62.852135,11.640617,0.0010852091,1000.4857
34,6123873398383875456,212.0047986,-33.2619834,No,19,ML1_20210619_190912_red,8476.807263273047,2160.1198673375616,59384.79806540371,16133,q,60.0,2.4608254,1.0024865,23.620644,0.01878773,yellow,yellow,0,14.040952,11.652008,6.339676E-4,1712.6052,18.180721,79286.03,46.295567,12.378348,8.541389E-4,1271.1471,40612.555,31.949535,11.754114,6.524145E-4,1664.1814,72169.62,43.366436,11.64708,9.0624456E-4,1198.0608,79646.664,66.479645,12.545656,9.998127E-4,50.575264,18.189686,34812.668,32.057648,3074.99489291345,8590.057388930176,24,12.369205,11.788106,8.7214325E-4,1244.9059,18.729559,69945.16,56.185097,14.133613,0.0019355634,560.9407,8064.0835,14.376001,12.526203,9.249813E-4,1173.7925,35442.016,30.194447,12.329622,9.0140005E-4,1204.4998,42476.74,35.265045,11.249532,6.704362E-4,1619.4475
34,6123873398383875456,212.0047986,-33.2619834,No,19,ML1_20210619_191035_red,8476.3187222636,2156.190542821607,59384.7990249923,16133,r,60.0,3.149974,1.0028349,22.632317,0.013876319,yellow,yellow,0,3.3334346,11.542216,9.37055E-4,1158.6686,17.650831,87722.99,75.71017,12.0847645,0.0011602656,935.7651,53222.324,56.87573,11.607863,9.5588824E-4,1135.8401,82576.07,72.70044,11.530793,0.0014797109,733.74884,88650.79,120.818985,15.144387,0.021223024,-2.3175974,17.47121,3178.6648,62.133766,3074.99489291345,8590.057388930176,0,4.8012657,11.507427,9.092405E-4,1194.1134,17.604574,90579.34,75.8549,12.12148,0.0011845634,916.5708,51452.62,56.136,11.584981,9.3044905E-4,1166.8948,84334.84,72.27288,11.506804,0.001045063,1038.9193,90631.28,87.236115,11.369978,0.0011354836,956.1883
34,6123873398383875456,212.0047986,-33.2619834,No,19,ML1_20210619_191205_red,8475.705121467632,2154.86739641645,59384.80006330287,16133,i,60.0,2.4639933,1.0032413,22.149317,0.009583462,yellow,yellow,0,5.550151,11.500901,0.0011309669,960.0071,17.335592,91125.45,94.921646,12.179076,0.0014850085,731.1313,48794.34,66.73814,11.6118355,0.0011678094,929.7204,82274.59,88.49391,11.500046,0.0016712582,649.652,91197.22,140.37859,17.591541,0.25980404,-0.17822942,17.198793,333.72122,79.85561,3074.99489291345,8590.057388930176,0,3.8105156,11.491869,0.0010992548,987.70197,17.36022,91886.63,93.03072,12.092632,0.0014320845,758.15094,52838.023,69.693275,11.585897,0.0011364166,955.4033,84263.67,88.19697,11.490943,0.0011565351,938.7835,91964.9,97.96178,11.387932,0.0014434464,752.1832
34,6123873398383875456,212.0047986,-33.2619834,No,19,ML1_20210709_215423_red,8429.520648834847,1997.2210626500407,59404.91276670137,16133,i,60.0,3.1800492,1.7035085,22.18629,0.015891662,orange,orange,0,2.837932,11.466859,0.0011124382,975.9969,17.310421,94027.84,96.34031,12.128515,0.0014591339,744.0963,51120.363,68.70128,11.573167,0.0011477859,945.9396,85257.57,90.13004,11.459228,0.0015233654,712.7221,94690.984,132.8582,15.686139,0.043730542,2.0508919,17.227028,1929.942,77.73289,3074.99489291345,8590.057388930176,0,3.8105156,11.491869,0.0010992548,987.70197,17.36022,91886.63,93.03072,12.092632,0.0014320845,758.15094,52838.023,69.693275,11.585897,0.0011364166,955.4033,84263.67,88.19697,11.490943,0.0011565351,938.7835,91964.9,97.96178,11.369299,0.0014030101,773.862
34,6123873398383875456,212.0047986,-33.2619834,No,19,ML1_20210709_215613_red,8429.156096675231,1996.323931066818,59404.91404458868,16133,q,60.0,3.5796108,1.7186096,23.649042,0.052512065,yellow,yellow,0,4.747234,11.578518,6.165759E-4,1760.9125,18.08256,84838.484,48.178707,12.213002,8.109032E-4,1338.922,47293.234,35.321873,11.662914,6.3445827E-4,1711.2805,78493.58,45.86833,11.565122,7.4151484E-4,1464.2136,85891.61,58.660572,12.505518,0.0010426288,38.94323,18.102062,36123.727,34.68949,3074.99489291345,8590.057388930176,24,12.369205,11.788106,8.7214325E-4,1244.9059,18.729559,69945.16,56.185097,14.133613,0.0019355634,560.9407,8064.0835,14.376001,12.526203,9.249813E-4,1173.7925,35442.016,30.194447,12.329622,9.0140005E-4,1204.4998,42476.74,35.265045,11.236028,6.759052E-4,1606.3438
34,6123873398383875456,212.0047986,-33.2619834,No,19,ML1_20210709_215758_red,8428.593804860027,2003.5925493511656,59404.91525743491,16133,u,60.0,4.773004,1.7332431,22.210732,0.053363778,yellow,yellow,0,0.40478778,12.529817,0.0025762299,421.44385,17.556383,35324.297,83.81733,12.921822,0.0029817699,364.12473,24619.033,67.611534,12.557263,0.0026679016,406.96262,34442.48,84.63303,12.532004,0.005524625,196.52667,35253.18,179.38115,16.731573,0.08904701,5.0833874,17.494205,736.8355,60.4318,3074.99489291345,8590.057388930176,0,0.8546599,12.543838,0.0021734969,499.53427,17.657206,34871.047,69.80712,13.102626,0.0027800575,390.5445,20842.477,53.36774,12.605581,0.0022199661,489.0778,32943.336,67.35807,12.543953,0.0024104435,450.43002,34867.34,77.409004,12.421134,0.0028153104,385.65414
34,6123873398383875456,212.0047986,-33.2619834,No,19,ML1_20210709_215952_red,8429.551532565634,2006.6172011335184,59404.91658439092,16133,i,60.0,3.7028327,1.7495985,22.179398,0.06288642,yellow,yellow,0,3.156838,11.428668,0.0011017451,985.46954,17.307756,97394.09,98.83014,12.081926,0.0014337111,757.2907,53361.62,70.46385,11.5264015,0.0011346344,956.90393,89010.055,93.0188,11.414088,0.001643694,660.5464,98710.664,149.4379,14.74076,0.018379267,11.272237,17.222738,4609.9478,78.03688,3074.99489291345,8590.057388930176,0,3.8105156,11.491869,0.0010992548,987.70197,17.36022,91886.63,93.03072,12.092632,0.0014320845,758.15094,52838.023,69.693275,11.585897,0.0011364166,955.4033,84263.67,88.19697,11.490943,0.0011565351,938.7835,91964.9,97.96178,11.338718,0.00136624,794.6892
34,6123873398383875456,212.0047986,-33.2619834,No,19,ML1_20210709_220147_red,8429.335654937782,2002.2369390972694,59404.91791378908,16133,q,60.0,4.113502,1.7663565,23.629078,0.073377065,orange,orange,0,3.7872307,11.559152,6.1816745E-4,1756.3788,18.042494,86365.336,49.172386,12.196122,8.1231457E-4,1336.5957,48034.285,35.937782,11.646447,6.3724007E-4,1703.8103,79693.195,46.773514,11.545263,7.796967E-4,1392.511,87477.1,62.81969,12.471922,0.0010215936,48.990395,18.090492,37258.965,35.0578,3074.99489291345,8590.057388930176,24,12.369205,11.788106,8.7214325E-4,1244.9059,18.729559,69945.16,56.185097,14.133613,0.0019355634,560.9407,8064.0835,14.376001,12.526203,9.249813E-4,1173.7925,35442.016,30.194447,12.329622,9.0140005E-4,1204.4998,42476.74,35.265045,11.224469,6.707148E-4,1618.7747
34,6123873398383875456,212.0047986,-33.2619834,No,19,ML1_20210709_220329_red,8428.009652181236,2008.435457884432,59404.91908786178,16133,u,60.0,5.0922356,1.7814753,22.181593,0.07083124,orange,orange,0,0.50792766,12.521779,0.0026260742,413.4446,17.482525,35586.77,86.07385,12.987938,0.0031174105,348.2814,23164.596,66.51115,12.556588,0.002714808,399.93112,34463.92,86.174644,12.521026,0.0057489737,188.85738,35611.44,188.56262,15.666417,0.0346277,5.7937284,17.454174,1965.3198,62.68052,3074.99489291345,8590.057388930176,0,0.8546599,12.543838,0.0021734969,499.53427,17.657206,34871.047,69.80712,13.102626,0.0027800575,390.5445,20842.477,53.36774,12.605581,0.0022199661,489.0778,32943.336,67.35807,12.543953,0.0024104435,450.43002,34867.34,77.409004,12.384307,0.0027652555,392.635
34,6123873398383875456,212.0047986,-33.2619834,No,19,ML1_20210709_220516_red,8429.245763234898,2014.0516517165072,59404.92032835868,16133,i,60.0,3.7779875,1.797784,22.137655,0.087634675,orange,orange,0,2.3325565,11.407633,0.0011147396,973.98193,17.255156,99299.47,101.952065,12.090762,0.001465844,740.6901,52929.156,71.45924,11.516389,0.00115242,942.1358,89834.73,95.35221,11.388978,0.001698446,639.2527,101020.28,158.02872,14.258626,0.012140426,7.835179,17.190786,7187.027,80.36351,3074.99489291345,8590.057388930176,0,3.8105156,11.491869,0.0010992548,987.70197,17.36022,91886.63,93.03072,12.092632,0.0014320845,758.15094,52838.023,69.693275,11.585897,0.0011364166,955.4033,84263.67,88.19697,11.490943,0.0011565351,938.7835,91964.9,97.96178,11.310102,0.0013472296,805.9029
34,6123873398383875456,212.0047986,-33.2619834,No,19,ML1_20210709_220704_red,8429.129411557993,2009.7306076600908,59404.92158298184,16133,q,60.0,3.8256257,1.8146378,23.60645,0.10389713,yellow,orange,0,4.437822,11.602564,6.2082685E-4,1748.8551,18.018295,82980.21,47.448307,12.23163,8.134573E-4,1334.7181,46488.758,34.830395,11.686154,6.385005E-4,1700.4469,76831.2,45.18295,11.588659,7.62496E-4,1423.9236,84049.62,59.026775,12.386574,9.6296234E-4,74.75719,18.069214,40306.027,35.74827,3074.99489291345,8590.057388930176,24,12.369205,11.788106,8.7214325E-4,1244.9059,18.729559,69945.16,56.185097,14.133613,0.0019355634,560.9407,8064.0835,14.376001,12.526203,9.249813E-4,1173.7925,35442.016,30.194447,12.329622,9.0140005E-4,1204.4998,42476.74,35.265045,11.19404,6.5580296E-4,1655.583
34,6123873398383875456,212.0047986,-33.2619834,No,19,ML1_20210709_220848_red,8427.389200946553,2014.32709444815,59404.92277811952,16133,u,60.0,5.68747,1.8310382,22.154448,0.10325468,orange,orange,0,0.84322965,12.474537,0.0026717798,406.37186,17.477613,37169.363,91.46638,12.916042,0.0031334439,346.49933,24750.434,71.42996,12.502759,0.0027990812,387.89023,36215.652,93.36572,12.453318,0.0064150435,169.24844,37902.934,223.9485,15.113309,0.02109117,8.899077,17.439007,3270.9673,63.54079,3074.99489291345,8590.057388930176,0,0.8546599,12.543838,0.0021734969,499.53427,17.657206,34871.047,69.80712,13.102626,0.0027800575,390.5445,20842.477,53.36774,12.605581,0.0022199661,489.0778,32943.336,67.35807,12.543953,0.0024104435,450.43002,34867.34,77.409004,12.34649,0.00268702,404.06702
