,Name,DR3_source_id,ra,dec,pmRA,pmDec,B,V,R_x,J,H,K,u,g,i,z,ZTF
40,Gaia DR3 473575777103322496,473575777103322496,60.9224764,60.2467614,,,,,,,,,,,,,No
41,Gaia DR3 2030965725082217088,2030965725082217088,300.0883456,31.6290701,,,,,,,,,,,,,Yes
42,Gaia DR3 2163542397602876800,2163542397602876800,314.8758855,46.1472579,,,,,,,,,,,,,Yes
43,Gaia DR3 526939882463713152,526939882463713152,9.2763292,63.706996,,,,,,,,,,,,,Yes
44,Gaia DR3 2173852964799716480,2173852964799716480,326.9269487,53.9997832,,,,,,,,,,,,,Yes
45,Gaia DR3 5524022735225482624,5524022735225482624,130.8648451,-43.5837492,,,,,,,,,,,,,No
46,Gaia DR3 2169083008475385856,2169083008475385856,317.1012699,50.1992222,,,,,,,,,,,,,Yes
47,Gaia DR3 2206767944881247744,2206767944881247744,342.3141471,60.6646631,,,,,,,,,,,,,Yes
48,Gaia DR3 187219239343050880,187219239343050880,78.5500357,37.0041965,,,,,,,,,,,,,Yes
49,Gaia DR3 5617186348318629248,5617186348318629248,107.9070186,-25.523678,,,,,,,,,,,,,Yes
50,Gaia DR3 6053890788968694656,6053890788968694656,189.272338,-62.4697623,,,,,,,,,,,,,No
51,Gaia DR3 5880159842877908352,5880159842877908352,228.1479068,-57.9013608,,,,,,,,,,,,,No
52,Gaia DR3 5965503866703572480,5965503866703572480,256.822597,-42.4636309,,,,,,,,,,,,,No
53,Gaia DR3 1870955515858422656,1870955515858422656,312.9136593,37.5701162,,,,,,,,,,,,,Yes
54,Gaia DR3 2006088484204609408,2006088484204609408,333.7222614,55.6014203,,,,,,,,,,,,,Yes
55,Gaia DR3 5311969857556479616,5311969857556479616,138.7208214,-51.7624049,,,,,,,,,,,,,No
56,Gaia DR3 5338183383022960512,5338183383022960512,163.8517483,-60.8901673,,,,,,,,,,,,,No
57,Gaia DR3 5866345647515558400,5866345647515558400,209.6090111,-61.6173917,,,,,,,,,,,,,No
58,Gaia DR3 4281886474885416064,4281886474885416064,282.0665144,4.0900264,,,,,,,,,,,,,Yes
59,Gaia DR3 4272588356022299520,4272588356022299520,278.9687172,-0.0870146,,,,,,,,,,,,,Yes
60,Gaia DR3 4271992661242707200,4271992661242707200,278.4116234,-1.1950712,,,,,,,,,,,,,Yes
61,Gaia DR3 4260141158544875008,4260141158544875008,280.6910751,-1.3850225,,,,,,,,,,,,,Yes
62,Gaia DR3 2083649030845658624,2083649030845658624,307.8764816,47.9782683,,,,,,,,,,,,,Yes
63,Gaia DR3 5868425648663616768,5868425648663616768,201.6601786,-61.9115934,,,,,,,,,,,,,No
64,Gaia DR3 460686648965862528,460686648965862528,44.2188798,57.2331966,,,,,,,,,,,,,Yes
65,Gaia DR3 5323384162646755712,5323384162646755712,134.6809508,-53.1388079,,,,,,,,,,,,,No
66,Gaia DR3 5328449200388495616,5328449200388495616,133.033784,-48.5786666,,,,,,,,,,,,,No
67,Gaia DR3 6052463412400724992,6052463412400724992,248.7805544,-20.7259694,,,,,,,,,,,,,Yes
68,Gaia DR3 5966574133883852416,5966574133883852416,254.5211624,-41.4761067,,,,,,,,,,,,,No
69,Gaia DR3 5326288831829996416,5326288831829996416,140.1741493,-48.1982067,,,,,,,,,,,,,No
