Gaia source ID_1,Light curves_1,Spectrum_1,X-ray cat_1,Period(me),Tier_1,Per(lamost),Type,psuperclass,pvarTypes,pPer(gaia-xmatch),pCat,My class,Gaia Var. Class,Simbad Class,period(ztf),sin_dnn,rscvn_dnn,emsms_dnn,ea_dnn,rrlyr_dnn,el_dnn,saw_dnn,bogus_dnn,wuma_dnn,e_dnn,yso_dnn,ceph_dnn,cv_dnn,srv_dnn,fla_dnn,blyr_dnn,wp_dnn,eb_dnn,blher_dnn,hp_dnn,ext_dnn,dip_dnn,rrab_dnn,vnv_dnn,pnp_dnn,wvir_dnn,dp_dnn,bright_dnn,ceph2_dnn,dscu_dnn,bis_dnn,osarg_dnn,rrblz_dnn,i_dnn,puls_dnn,mp_dnn,rrc_dnn,mir_dnn,agn_dnn,longt_dnn,blend_dnn,ew_dnn,lpv_dnn,rrd_dnn,rrd_xgb,wvir_xgb,dp_xgb,blher_xgb,lpv_xgb,agn_xgb,dscu_xgb,puls_xgb,rrc_xgb,mir_xgb,e_xgb,rscvn_xgb,rrlyr_xgb,bis_xgb,emsms_xgb,mp_xgb,ew_xgb,bogus_xgb,ea_xgb,vnv_xgb,pnp_xgb,longt_xgb,dip_xgb,cv_xgb,blend_xgb,ext_xgb,wuma_xgb,srv_xgb,fla_xgb,bright_xgb,el_xgb,ceph_xgb,eb_xgb,wp_xgb,hp_xgb,i_xgb,blyr_xgb,yso_xgb,saw_xgb,ceph2_xgb,rrab_xgb,sin_xgb,osarg_xgb,rrblz_xgb
527155253604491392,"ZTF, ASAS-SN, ATLAS, NEOWISE, TESS",GRVS,-,-,Bronze,,,L,L,,ASASSN_VAR_JAYASINGHE_2019,-,Unclassified,Em* (*|Em*),4.99809708762161,0.27,0.34,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.08,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.33,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.02,0.45,0.0,0.0,0.0,0.0,0.06,0.01,0.03,0.0,0.0,0.0,0.0,0.03,0.08,0.02,0.0,0.0,0.31,0.0,0.0,0.07,0.01,0.0,0.0,0.0,0.0,0.09,0.0,0.02,0.99,0.63,0.31,0.0,0.0,0.29,0.0,0.0,0.01,0.07,0.0,0.0,0.11,0.0,0.22,0.0,0.02,0.0,0.0,0.0,0.23,0.0,0.18,0.0,0.33
527155253604491392,,,,,,,,,,,,,,,4.001491597989321,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.32,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.95,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.0,0.0,0.0,0.03,0.08,0.0,0.0,0.0,0.29,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.06,0.01,0.02,0.91,0.17,0.04,0.0,0.0,0.29,0.0,0.0,0.0,0.07,0.02,0.0,0.02,0.0,0.22,0.0,0.01,0.0,0.0,0.0,0.23,0.0,0.12,0.0,0.33
1870955515858422656,"ZTF, ASAS-SN, ATLAS, NEOWISE, TESS",CAFOS,-,46.211840d,Diamond,,,,,,,Ell?,Unclassified,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002117151282819840,"ASAS-SN, NEOWISE, TESS",-,-,-,Bronze,,,,,,,-,ECL,Em* (*|Em*|NIR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006088484204609408,"ZTF, ASAS-SN, ATLAS, NEOWISE",-,-,2.5960645d,Silver,,,ECL,EA,5.1916,COMP_VAR_VSX_2019,EB,ECL,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006912396372680960,"ZTF, ASAS-SN, ATLAS, NEOWISE, TESS",-,-,-,Bronze,,,OMIT,OMIT,1488.286255,ATLAS_VAR_HEINZE_2018,Outb,RS,V* (*|MIR|NIR|Opt|V*),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007318661608788096,"ZTF, ATLAS, NEOWISE",-,-,-,Bronze,,,SOLAR_LIKE,RS,12.3204231,ZTF_PERIODIC_CHEN_2020,Puls,RS,V* (*|MIR|NIR|Opt|V*),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013187240507011456,"ZTF, ASAS-SN, ATLAS, NEOWISE, TESS",CAFOS,-,-,Gold,,,,,,,-,Unclassified,Em* (*|Em*),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027563492489195520,"ZTF, ASAS-SN, ATLAS, NEOWISE",-,-,-,Bronze,,,OMIT,OMIT,224.601746,ATLAS_VAR_HEINZE_2018,Outb,Unclassified,V* (*|MIR|NIR|Opt|V*),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030965725082217088,"ZTF, ASAS-SN, ATLAS, NEOWISE, TESS",CAFOS,-,-,Gold,,,,,,,"Outb?,Puls?",Unclassified,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2054338249889402880,"ZTF, ASAS-SN, ATLAS, NEOWISE, TESS",-,-,-,Bronze,,,YSO,YSO,,COMP_VAR_VSX_2019,-,Unclassified,Em* (*|Em*),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2060841448854265216,"ZTF, ASAS-SN, ATLAS, NEOWISE, TESS",CAFOS,-,60.545008d,Diamond,,,ECL,EW,60.7030776,ZTF_PERIODIC_CHEN_2020,EB,Unclassified,V* (*|MIR|NIR|Opt|V*),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2061252975440642816,"ZTF, ASAS-SN, ATLAS, NEOWISE",-,-,2.139183d,Silver,,,ECL,EA,2.139009,ZTF_PERIODIC_CHEN_2020,EB,ECL,** (*|**|MIR|NIR|Opt|V*),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2074693061975359232,"ZTF, ASAS-SN, ATLAS, NEOWISE, TESS",CAFOS,-,-,Gold,,,,,,,"Puls?,Wave",RS,Em* (*|Em*),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2083649030845658624,"ZTF, ATLAS, NEOWISE",-,4XMM-DR13,-,Silver,,,,,,,Puls,Unclassified,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2163542397602876800,"ZTF, ASAS-SN, ATLAS, NEOWISE, TESS",-,-,-,Bronze,,,,,,,-,Unclassified,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2164630463117114496,"ZTF, ASAS-SN, ATLAS, NEOWISE, TESS","CAFOS, GRVS",-,-,Gold,,,,,,,Wave?,RS,Em* (*|Em*),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2166378312964576256,"ZTF, ASAS-SN, ATLAS, NEOWISE, TESS",CAFOS,-,72.427805d,Diamond,,,ECL,EA,72.5640178,ZTF_PERIODIC_CHEN_2020,EB,Unclassified,Em* (*|Em*|MIR|NIR|Opt|V*),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
