,source_id,phot_g_mean_mag,ra,dec,Texp
0,2200433413577635840,12.230884,336.7675421504701,59.09301638394482,120
1,2030965725082217088,13.207283,300.0883552394068,31.629031589357545,120
2,2074693061975359232,13.233174,302.9373926070931,41.782188483411645,120
3,2164630463117114496,13.412371,319.53854238831474,47.5317750610388,120
4,2163542397602876800,13.552832,314.87589566535235,46.14725111579816,120
5,2206767944881247744,13.895024,342.314118351646,60.66464881555867,240
6,2054338249889402880,13.922831,305.1282847047276,32.56791391443289,240
7,1870955515858422656,14.160615,312.913670723033,37.57014136419038,240
8,2006088484204609408,14.231659,333.72227434952464,55.60140990809453,240
9,2013187240507011456,14.346963,343.6521972108014,58.056556055720286,360
10,2060841448854265216,14.571691,303.48742560161844,37.50233267073071,360
11,2166378312964576256,14.629881,312.60990459498606,46.01798322445887,360
12,2027563492489195520,14.891698,298.54043069026943,27.394583031147068,600
13,2175699216614191360,14.976458,319.305295437044,53.40883958995339,600
14,4281886474885416064,15.344664,282.06652210006786,4.090032964779728,720
15,4271992661242707200,15.594354,278.4116231878533,-1.1950726835029837,720
16,2007318661608788096,15.609404,341.0511224274953,57.83251452762466,720
17,4260141158544875008,15.61235,280.6910487139621,-1.3850086697232675,720
18,2083649030845658624,15.639525,307.876481292216,47.9782094386131,720
19,2061252975440642816,16.331625,304.7922401904542,38.29854397308711,1500
