allwise_oid,source_id,ra,dec,l,b,mg0,bprp0,w1mpro,w2mpro,w3mpro,w4mpro,halpha_w,halpha_werror,halpha_d,hbeta_w,hbeta_werror,hbeta_d,best_class_score,best_class_name,dist50,av50,teff50,logg50,met50,mass50,ag50,bp_rp_excess_corr,parallax,parallax_over_error,phot_g_mean_mag,phot_g_mean_flux,phot_g_mean_flux_error,log_g_err,bp_rp,pmra,pmra_error,pmdec,pmdec_error,grvs_mag,radial_velocity,radial_velocity_error,rv_nb_transits,main_type,other_types
409319848,4281886474885416064,282.06652210006786,4.090032964779728,36.21335394963052,2.5681683061658065,0.67980164,0.55415434,10.272,10.255,10.563,8.797,0.427726,1.559405,0.883882,0.0,4.908123,,0.0,Unclassified,1.0361313,6.2215514,6623.047,3.4075885,0.08741603,2.1306438,4.587788,-0.020285487,0.8556932286459851,22.428446,15.344664,13711.379548014651,59.174274,-1.9670082081388174,3.0471888,-1.6726077562055248,0.035772085,-1.948093280983067,0.03650311,NULL,NULL,NULL,NULL,LPV*,LP*
438126976,4299904519833646080,298.9081529143546,8.962258456614183,48.42646208186916,-9.904232352122788,-5.375654,0.22743085,8.722,8.652,8.231,7.583,0.054084,0.198016,0.992287,1.151841,0.334273,1.630863,0.0,Unclassified,7.3180904,0.7081267,8011.166,1.856559,-0.09147089,7.12558,0.633486,-0.0093688965,0.11045579796740572,7.721509,9.579821,2773438.331624998,3762.4392,-2.469609030254159,0.55245113,-2.3754226381526626,0.014761693,-7.697269337720858,0.011183001,9.120265,-14.370462,1.0329238,14,Star,*|NIR
472734265,4321276689423536384,292.2191033909667,14.886947081692792,50.413228728215124,-1.3026255555261557,-0.66102743,0.9318849,10.217,10.207,9.825,7.708,0.400746,0.827272,0.842899,-2.51499,2.672433,0.770459,0.30299804,LPV,2.926519,4.621475,5240.985,2.5051665,-0.5828584,2.2401555,3.4473872,1.8453598E-4,0.26391003282043324,10.661073,15.118116,16892.742816596157,26.710672,-2.4030753472249886,2.7822084,-2.6097019407934057,0.024168612,-3.8555299828541107,0.025083832,13.392625,-2.5549443,6.945895,10,LP*_Candidate,*|LP?|NIR
493481406,4515124540765147776,290.2013399473658,18.495511942784482,52.67603931974042,2.1086952333108826,-1.057789,0.9918219,9.541,9.69,9.466,8.357,0.412204,4.032805,1.113114,-10.785613,6.359731,0.752305,0.3313529,LPV,2.4963288,8.108187,5249.86,2.4383268,-0.4031276,2.8284082,5.5560894,0.16019368,0.2907546106633396,5.161048,16.48481,4797.587616217198,19.731487,-1.9879230676174984,4.0934725,-2.9719980402243484,0.048747994,-7.765161295521242,0.055801105,NULL,NULL,NULL,NULL,LP*_Candidate,*|C*?|LP?|NIR
504042294,4519475166529738112,286.937413191176,20.350116846344978,52.90552139349358,5.6949073373492345,-3.5591433,0.8958446,8.619,8.554,8.128,7.405,1.187708,5.117626,0.745882,-0.367963,2.589544,0.803699,0.89043194,LPV,4.917074,4.5085406,5477.737,1.7310578,-0.42681262,4.6176167,3.392402,-0.017458677,0.18805521455070884,14.749652,13.291793,90830.02365322028,610.5699,-1.774554047231372,2.7128906,2.9087208483564777,0.010497789,-5.291152552501428,0.013310578,11.566578,-19.697174,0.7443339,27,LP*_Candidate,*|LP?|NIR
91193623,5311969857556479616,138.7208240162568,-51.76242867780203,272.8051920908618,-2.0321302402296912,-0.48588404,0.94011074,10.695,10.589,10.172,9.165,1.435431,2.176956,0.741324,-2.799813,1.740947,0.903188,0.12114249,ECL,3.8761673,2.3685825,5027.278,2.0166695,-1.8954656,0.8372387,1.8720611,0.02950418,0.18794429786670083,12.012829,14.32819,34967.9970095571,231.74472,-1.7807208872725382,1.9218292,-3.7058086339870417,0.017140992,3.4904202432540252,0.01641607,NULL,NULL,NULL,NULL,,
85008386,5323384162646755712,134.6809500212211,-53.138837337046205,272.1686423612258,-4.779729505045613,0.9922588,0.6298677,12.938,12.962,10.965,8.725,0.753302,1.075489,0.820008,-1.310669,1.586276,0.906533,0.22839496,RS,3.7566395,2.6279278,6341.5225,3.3392847,-0.20630527,2.0011842,2.1297247,0.0032172203,0.16570487612800253,5.4718094,15.995981,7525.827976951226,21.673077,-2.142693696636909,1.7456932,-2.91081342034008,0.034524772,2.954110208532281,0.031883515,NULL,NULL,NULL,NULL,,
107866589,5326288831829996416,140.17412380868325,-48.19821851901409,270.9111319073403,1.128428294946075,0.63276815,0.8827147,11.474,11.371,10.788,8.481,0.917924,2.932923,1.033752,0.0,74.309611,,0.0,Unclassified,2.5952342,6.381076,5253.4272,2.9163334,-0.48827907,1.7923546,4.5510755,0.017360449,0.4131365268852992,6.764777,17.254726,2360.7831801300435,10.375546,-1.9591051223519118,3.3735857,-5.05492580507533,0.06495748,2.0070994012284444,0.06457444,NULL,NULL,NULL,NULL,,
106036429,5328449200388495616,133.03372970520596,-48.57870582032871,268.0036154748461,-2.6349920946377217,0.9159199,0.8267234,12.293,12.336,11.84,8.88,0.0,1.30887,,1.425456,0.94547,0.862169,0.665883,RS,4.152778,2.7809768,5294.035,2.6839442,-2.1122212,0.83631027,2.1867468,0.011669993,0.22315583116442264,5.814757,16.19436,6269.057284964414,14.924393,-2.22536556169741,1.9774733,-3.758766080138813,0.04022003,4.671561012181083,0.04142785,NULL,NULL,NULL,NULL,,
53867008,5338183383022960512,163.8516371806719,-60.89017251092488,289.2838830746961,-1.1308624548676534,-1.4334604,0.17677988,12.354,12.295,10.103,7.399,0.815029,0.626284,0.976332,-0.690145,0.496528,0.945663,0.0,Unclassified,5.858293,2.531255,8263.84,3.1416628,0.25444064,3.2954624,2.1477127,0.01888585,0.1389908268887858,7.0474973,14.553108,28425.195261225763,59.4338,-2.281729940226518,1.2960958,-5.4672113269051,0.020777492,2.1233324548692867,0.0202683,NULL,NULL,NULL,NULL,,
